tau_s,sigma_ref,n_replicates,n_windows,n_lags,tau_hat_median,tau_rel_error,sigma_ratio_median,sigma_rel_error,sf_min_over_links,max_target_clip,max_abs_sink_error,max_underrun,max_delta_rms_s
2.0,0.028,2,4100,8,1.9846062897114072,-0.007696855144296411,1.0030954435177284,0.003095443517728391,0.9248520151827644,3.048780487804878e-05,4.77909671443566e-05,0.0,8.309757955597603e-05
2.0,0.045,2,4100,8,1.9011773860405952,-0.04941130697970242,0.9618148300251299,-0.03818516997487009,0.9614255420810751,0.005579268292682927,4.327877542942282e-05,0.0,8.380038613629914e-05
5.0,0.028,2,10250,20,4.958147019843382,-0.008370596031323507,1.0045327983947037,0.004532798394703663,0.9082390784652365,0.00015853658536585366,2.0292623242212926e-05,0.0,7.968193119759937e-05
5.0,0.045,2,10250,20,4.944391917893961,-0.011121616421207792,0.9849006991484566,-0.015099300851543429,0.9619613804984971,0.003292682926829268,2.1018399708250257e-05,0.0,8.608605132667257e-05
30.0,0.036,1,61500,120,28.97206967901311,-0.034264344032896354,1.023713509808187,0.023713509808187094,0.9432747438032011,0.0007967479674796748,7.694446437112035e-06,0.0,0.00010588097356756418
