dataset,cell,n_rep,n_win,dt_s,kappa_median,acf1_median,rho_eps_max,rho_eps_run_max,aligned
G3b,t2_s0.028,2,4100,0.1,1.9886658012581415,-0.49439119127847814,0.032003776965883496,0.05530262685707261,True
G3b,t2_s0.045,2,4100,0.1,2.0120477235608085,-0.4977901759967129,0.022589593219112115,0.04714494751717886,True
G3b,t5_s0.028,2,10250,0.1,2.003997040450368,-0.49754886950092353,0.025599379288023385,0.0401051329190588,True
G3b,t5_s0.045,2,10250,0.1,2.0070230387153445,-0.49884268533276854,0.016769377894972307,0.03370898893627976,True
G3b,t30_s0.036,1,61500,0.1,2.007158702847244,-0.49682991117737246,0.012641570891183404,0.012641570891183404,True
G2,g2_run3,4,4100,0.1,2.0217309849895324,-0.5012137712798036,0.022680882840285497,0.058669728048576224,True
