family,procedure,omega,coverage_simultaneous,replicate_sd,mc_se,marginal_slot1,marginal_slot2,marginal_slot3,qhat_mean,acceptance,amplitude,snr,worst_step,marginal_drift,nc3_signed
primary,uncorrected,0.0,0.7702133333333333,0.029665848707975458,0.0020976922791063625,0.8998516666666666,0.9001808333333337,0.89917,11.675806746172588,0.6237725,0.004440833333333338,0.1449169730944105,-0.0028966666666666585,0.0030725000000003666,0.04185935672981944
primary,uncorrected,0.25,0.7673166666666666,0.029434982624790513,0.0020813675818097573,0.8978516666666664,0.8971083333333333,0.89798,12.64671951186317,0.6007441666666666,0.004440833333333338,0.1449169730944105,-0.0028966666666666585,0.0030725000000003666,0.04185935672981944
primary,uncorrected,0.5,0.7697616666666667,0.031146980991779746,0.0022024241472775956,0.8986566666666667,0.8982475000000002,0.8986450000000002,13.607269026999411,0.5780091666666667,0.004440833333333338,0.1449169730944105,-0.0028966666666666585,0.0030725000000003666,0.04185935672981944
primary,uncorrected,0.75,0.7709916666666666,0.0315732101931112,0.0022325631031377153,0.8986958333333341,0.8984941666666666,0.8990491666666668,14.500698024019584,0.5579833333333333,0.004440833333333338,0.1449169730944105,-0.0028966666666666585,0.0030725000000003666,0.04185935672981944
primary,uncorrected,1.0,0.7717575,0.03133346162301332,0.0022156103191681162,0.8989374999999995,0.8984824999999996,0.8989866666666672,15.333087598177615,0.5399816666666666,0.004440833333333338,0.1449169730944105,-0.0028966666666666585,0.0030725000000003666,0.04185935672981944
primary,bonferroni,0.0,0.9143600000000001,0.01807272083595311,0.0012779343457593852,0.9660924999999994,0.9661208333333333,0.9659325000000004,15.280653163963834,0.5309766666666667,0.0005241666666665479,0.0280855478699228,-0.0004925000000000068,0.0005058333333333165,0.01279522186409221
primary,bonferroni,0.25,0.9138675,0.01725133854523923,0.0012198538469883528,0.9657150000000004,0.9656200000000001,0.9658149999999999,16.610460501819215,0.5025725,0.0005241666666665479,0.0280855478699228,-0.0004925000000000068,0.0005058333333333165,0.01279522186409221
primary,bonferroni,0.5,0.9143916666666666,0.018824713418470643,0.0013311082512093987,0.9661650000000003,0.9658341666666672,0.9659675000000001,17.920202039146545,0.47548583333333333,0.0005241666666665479,0.0280855478699228,-0.0004925000000000068,0.0005058333333333165,0.01279522186409221
primary,bonferroni,0.75,0.9143141666666667,0.0194732072481764,0.001376963689663656,0.9663975000000002,0.965746666666667,0.965689166666666,19.105396678193046,0.4517566666666667,0.0005241666666665479,0.0280855478699228,-0.0004925000000000068,0.0005058333333333165,0.01279522186409221
primary,bonferroni,1.0,0.9140275,0.019590067287288505,0.0013852269422742454,0.9661599999999999,0.965615,0.9656483333333332,20.218042792735485,0.43135333333333337,0.0005241666666665479,0.0280855478699228,-0.0004925000000000068,0.0005058333333333165,0.01279522186409221
primary,sidak,0.0,0.9115941666666667,0.01839890495051271,0.0013009990456914278,0.9650016666666668,0.9649449999999993,0.9646916666666665,15.17523114221885,0.5334658333333333,0.00045500000000020524,0.02395720448138141,-0.00043416666666684645,0.0005216666666658654,0.013298818927875322
primary,sidak,0.25,0.9111599999999999,0.017560208622237512,0.0012416942595834626,0.9645441666666666,0.9644516666666664,0.9646349999999997,16.494377086106695,0.5053791666666667,0.00045500000000020524,0.02395720448138141,-0.00043416666666684645,0.0005216666666658654,0.013298818927875322
primary,sidak,0.5,0.9116150000000001,0.019122853499495013,0.0013521899385129826,0.9650024999999998,0.9646841666666661,0.9646824999999994,17.790446298458892,0.478305,0.00045500000000020524,0.02395720448138141,-0.00043416666666684645,0.0005216666666658654,0.013298818927875322
primary,sidak,0.75,0.911595,0.019877489871043142,0.0014055507880781518,0.9652024999999993,0.9645424999999994,0.9645091666666674,18.967678350996366,0.45464666666666675,0.00045500000000020524,0.02395720448138141,-0.00043416666666684645,0.0005216666666658654,0.013298818927875322
primary,sidak,1.0,0.9112883333333334,0.019895712960162754,0.001406839355067216,0.9649600000000004,0.9644233333333334,0.9645058333333338,20.075284549562763,0.43430083333333336,0.00045500000000020524,0.02395720448138141,-0.00043416666666684645,0.0005216666666658654,0.013298818927875322
primary,maxscore,0.0,0.8983175,0.02023017049599535,0.0014304890742278334,0.961770833333334,0.959943333333333,0.9557624999999992,14.698353123706427,0.5402858333333334,0.0007141666666666824,0.03477956126085553,-0.0007141666666666824,0.0023599999999990295,0.01591407313811244
