trial,cid,post_ms,route_ms,lock_wait_ms,exec_ms,command_done_ms,t1_s,t1_command_to_sample_ms,t1_sample_to_seen_ms,t_change_s,t_change_command_to_sample_ms,metric_change_after_exec_ms,t_change_sample_to_seen_ms,t2_s,t2_command_to_sample_ms,metric_settle_after_exec_ms,t2_sample_to_seen_ms,t2_fetch_ms,n_collector_samples,rate_before_mbps,rate_change_mbps,rate_after_mbps,cap_before_mbps,cap_after_mbps,http_status,post_error,execute_error
1,4a74e03e-7104-4e71-a64e-d0484556b920,34.3477400001575,11.059045791625977,0.0,33.99991989135742,45.0589656829834,0.4253289210009825,315.05894660949707,110.25881767272949,0.4253289210009825,315.05894660949707,269.9999809265137,110.25881767272949,3.554208565999943,3316.059112548828,3271.0001468658447,238.13843727111816,6.964573000004748,8,5.07877736,11.77839816,14.97054344,5.0,15.0,202,,
2,7a211264-6c69-4a64-9dc9-753d58ec06f1,32.11213100075838,9.627103805541992,0.0,36.99994087219238,46.627044677734375,0.6331015799987654,354.6271324157715,278.46407890319824,0.6331015799987654,354.6271324157715,308.0000877380371,278.46407890319824,2.0898213669988763,1854.6271324157715,1808.000087738037,235.17680168151855,8.386416000575991,5,5.0066076,12.81768336,15.04306992,5.0,15.0,202,,
3,b826debe-2f96-4395-a209-18eaa4dc795d,30.751079000765458,9.337425231933594,0.0,36.00001335144043,45.33743858337402,0.4254639409991796,306.3375949859619,119.11654472351074,0.4254639409991796,306.3375949859619,261.0001564025879,119.11654472351074,2.0868016379990877,1806.337594985962,1761.000156402588,280.4532051086426,7.668571999602136,5,5.03033128,11.65712552,14.99334192,5.0,15.0,202,,
4,bdb4f0c6-f18e-40bd-b93b-d514c5b0898f,33.093281999754254,12.570858001708984,0.0,47.99985885620117,60.570716857910156,0.6449789119997149,309.5707893371582,335.39438247680664,0.6449789119997149,309.5707893371582,249.00007247924805,335.39438247680664,2.5177906999997504,2310.57071685791,2250.0,207.20958709716797,7.175714999902993,6,5.1031104,12.019750160000001,14.6902712,5.0,15.0,202,,
5,cf546460-91ea-4ae2-8c92-64c6b1f51ba6,31.504212000072584,9.531021118164062,0.0,47.99985885620117,57.530879974365234,0.42269075399963185,180.53102493286133,242.14959144592285,0.42269075399963185,180.53102493286133,123.0001449584961,242.14959144592285,3.3389203650003765,3180.5310249328613,3123.000144958496,158.37740898132324,7.998262999535655,8,5.0304632,9.335819359999999,14.946244400000001,5.0,15.0,202,,
