trial,cid,post_ms,route_ms,lock_wait_ms,exec_ms,command_done_ms,t1_s,t1_command_to_sample_ms,t1_sample_to_seen_ms,t_change_s,t_change_command_to_sample_ms,metric_change_after_exec_ms,t_change_sample_to_seen_ms,t2_s,t2_command_to_sample_ms,metric_settle_after_exec_ms,t2_sample_to_seen_ms,t2_fetch_ms,n_collector_samples,rate_before_mbps,rate_change_mbps,change_progress_frac,rate_after_mbps,cap_before_mbps,cap_after_mbps,http_status,post_error,execute_error
1,a041a1dd-2baa-4f47-a005-fc67699835db,30.238668998208595,9.597539901733398,0.0,36.00001335144043,45.59755325317383,0.4229577309997694,328.5975456237793,94.34914588928223,0.4229577309997694,328.5975456237793,282.99999237060547,94.34914588928223,2.0878666680000606,1829.5974731445312,1783.9999198913574,258.24618339538574,7.207865000964375,5,4.9061539199999995,11.01623256,0.6053271063947114,14.69522616,5.0,15.0,202,,
2,251b7615-cbe0-436a-9bb1-52ee600cb1bf,27.08111399988411,9.517192840576172,0.0,34.999847412109375,44.51704025268555,0.6296996210003272,336.5170955657959,293.1714057922363,0.6296996210003272,336.5170955657959,292.00005531311035,293.1714057922363,2.082799891999457,1837.517261505127,1793.0002212524414,245.2709674835205,9.43187300072168,5,4.8822704,11.17856216,0.6223028296783104,14.59991616,5.0,15.0,202,,
3,3edec9af-5da0-4060-9a4a-3eaf2e5da057,32.246903003397165,10.317325592041016,0.0,36.00001335144043,46.317338943481445,0.6304489059984917,404.31737899780273,226.1178493499756,0.6304489059984917,404.31737899780273,358.0000400543213,226.1178493499756,2.088906214998133,1905.3173065185547,1858.9999675750732,183.5784912109375,8.022246001928579,5,4.90623816,12.438518960000001,0.746231278228772,14.60007616,5.0,15.0,202,,
4,b61d610d-151f-4f2d-9210-174ee1242a92,28.759198998159263,8.251667022705078,0.0,36.00001335144043,44.25168037414551,0.4221882480014756,212.2516632080078,209.92398262023926,0.8450505100008741,713.2515907287598,668.9999103546143,131.7880153656006,1.881215463999979,1713.2515907287598,1668.9999103546143,167.9539680480957,6.068529000913259,5,4.92935688,14.71837432,0.9720349855868987,14.74292256,5.0,15.0,202,,
5,49f707e4-2168-4694-9ac3-cc2de42c5a61,28.251653999177506,9.720563888549805,0.0,36.00001335144043,45.720577239990234,0.42322423699806677,222.72062301635742,200.49333572387695,0.8389008630001626,722.7206230163574,677.0000457763672,116.16969108581543,1.8765352529990196,1722.7206230163574,1677.0000457763672,153.80477905273438,7.674421998672187,5,4.906446320000001,14.6235724,0.9627061378049758,14.742854560000001,5.0,15.0,202,,
6,1df4759b-57be-44ad-bfd4-74b4772bc2ec,36.38394600056927,10.968208312988281,0.0,42.999982833862305,53.968191146850586,0.424748923000152,241.96815490722656,182.7683448791504,0.8388155040011043,741.9681549072266,687.999963760376,96.83585166931152,1.8797858010002528,1740.9682273864746,1687.000036239624,137.49933242797852,7.4440260032133665,5,4.90620304,14.74187544,0.974427407146894,14.3289976,5.0,15.0,202,,
7,3de77902-cabd-464f-806c-c17e6f85c573,34.04180800134782,9.086847305297852,0.0,35.00008583068848,44.08693313598633,0.42372299500129884,251.08695030212402,172.62578010559082,0.8380895589980355,751.086950302124,707.0000171661377,86.99321746826172,1.8751597459995537,1751.086950302124,1707.0000171661377,124.06301498413086,7.579345998237841,5,4.90614224,14.694882960000001,0.9697720091510384,14.74249384,5.0,15.0,202,,
8,f17fbd4d-77cb-453a-81b8-3a2dfc45cdc9,25.673352000012528,8.776187896728516,0.0,32.99999237060547,41.776180267333984,0.423504115002288,274.7759819030762,148.71454238891602,1.045757849002257,774.7759819030762,732.9998016357422,270.9691524505615,1.874888294001721,1774.7759819030762,1732.9998016357422,100.09884834289551,6.4050690016301814,5,4.85916152,14.62519688,0.9630402238691411,14.504288240000001,5.0,15.0,202,,
9,1faa911d-b249-49e5-899f-b9ed063ccf46,27.017443997465307,7.894039154052734,0.0,36.99994087219238,44.89398002624512,0.42291110299993306,295.8941459655762,127.00676918029785,0.42291110299993306,295.8941459655762,251.00016593933105,127.00676918029785,2.0847198699993896,1795.8941459655762,1751.000165939331,288.8147830963135,8.259734000603203,5,4.90619136,10.23475648,0.5279043134306933,14.315407279999999,5.0,15.0,202,,
10,db0adf07-190a-4bd1-b4dc-f7bf7eca0825,33.93906100245658,8.814334869384766,0.0,37.000179290771484,45.81451416015625,0.4230064299990772,313.8144016265869,109.18164253234863,0.4230064299990772,313.8144016265869,267.99988746643066,109.18164253234863,2.084595135998825,1814.8143291473389,1768.9998149871826,269.7710990905762,7.912508001027163,5,4.95354976,10.44055216,0.5461632983711469,14.646645119999999,5.0,15.0,202,,
11,899bb81b-f196-4ad7-98e3-7d444363e22a,31.00689799975953,7.972955703735352,0.0,36.00001335144043,43.97296905517578,0.6358053969997854,363.97314071655273,271.8214988708496,0.6358053969997854,363.97314071655273,320.00017166137695,271.8214988708496,2.0948585299993283,1863.9731407165527,1820.000171661377,230.87191581726074,6.832703998952638,5,4.85898312,12.076398320000001,0.7117052742742305,14.64737128,5.0,15.0,202,,
12,ea78aaff-f17c-4927-83ae-c437240191da,25.145600997348083,7.825136184692383,0.0,35.00008583068848,42.82522201538086,0.6302152509997541,368.82519721984863,261.3797187805176,0.6302152509997541,368.82519721984863,325.9999752044678,261.3797187805176,2.0828894799997215,1868.8251972198486,1825.9999752044678,214.04457092285156,10.381688000052236,5,4.88211216,11.887830880000001,0.6924092093908802,14.64838376,5.0,15.0,202,,
13,b3f8735f-f412-44ff-b061-5f75004a16b8,39.60380900025484,12.867450714111328,0.0,34.00015830993652,46.86760902404785,0.634004671999719,393.86749267578125,240.1261329650879,0.634004671999719,393.86749267578125,346.9998836517334,240.1261329650879,2.089430021998851,1893.8674926757812,1846.9998836517334,193.85600090026855,7.5087829973199405,5,4.85888584,12.217071599999999,0.725579620139095,14.69311784,5.0,15.0,202,,
14,a76c6e6f-19a4-4e21-afc7-0537b7a11eeb,35.01824400154874,9.877681732177734,0.0,42.999982833862305,52.87766456604004,0.42443281399755506,199.87773895263672,224.54476356506348,0.839998919997015,700.8776664733887,648.0000019073486,139.10841941833496,1.8776018919998023,1700.8776664733887,1648.0000019073486,176.7106056213379,7.414460000291001,5,4.95367968,14.76533208,0.9766414057560132,14.69470784,5.0,15.0,202,,
15,37152116-e993-4b19-8edf-94162cd3023d,25.446871000895044,8.094549179077148,0.0,36.00001335144043,44.09456253051758,0.4225161320027837,223.09446334838867,199.41115379333496,0.8374918600020465,723.0944633483887,678.9999008178711,114.38465118408203,1.874760952003271,1723.0944633483887,1678.999900817871,151.65424346923828,7.241644001624081,5,4.9061936799999994,14.60000656,0.9603723880447906,14.7420792,5.0,15.0,202,,
16,6ed11dd1-c585-4406-a622-da1f5d8b3f20,28.752799997164402,7.8258514404296875,0.0,33.99991989135742,41.82577133178711,0.4219378259986115,246.8259334564209,175.10175704956055,0.8358991459972458,746.8259334564209,705.0001621246338,89.06364440917969,1.8714155959969503,1746.825933456421,1705.0001621246338,124.57537651062012,6.540856000356143,5,4.88214704,14.64688952,0.965100255815538,14.76438192,5.0,15.0,202,,
17,25bb6f6b-6f56-4737-bdb8-6e2dabd32540,25.510267998470226,8.136749267578125,0.0,36.00001335144043,44.136762619018555,0.42223536199890077,275.13670921325684,147.08805084228516,0.42223536199890077,275.13670921325684,230.99994659423828,147.08805084228516,1.8713657779990172,1776.1366367340088,1731.9998741149902,95.21675109863281,5.9129090004717,5,4.85888584,9.98871176,0.5058444110839196,14.55305808,5.0,15.0,202,,
18,f472e8ce-c7db-4eed-8a41-db08ce1fd8e9,30.83994999906281,11.195659637451172,0.0,54.99982833862305,66.19548797607422,0.4258202640012314,300.19545555114746,125.61416625976562,0.4258202640012314,300.19545555114746,233.99996757507324,125.61416625976562,2.086706458001572,1801.1956214904785,1735.0001335144043,285.50004959106445,7.354049001150997,5,4.90634808,10.53632832,0.5577743600256825,14.5053392,5.0,15.0,202,,
19,835d8394-7b35-4255-8cc5-91cddf759fe0,28.467279000324197,9.423017501831055,0.0,35.00008583068848,44.42310333251953,0.4237605030029954,320.4231262207031,103.32632064819336,0.4237605030029954,320.4231262207031,276.0000228881836,103.32632064819336,2.0837933309994696,1820.4231262207031,1776.0000228881836,263.36050033569336,7.176569000876043,5,4.90639952,11.22518704,0.6260191824037799,14.623000800000002,5.0,15.0,202,,
20,cc753755-2766-41da-820a-5dd2802c40b5,28.171953999844845,9.032487869262695,0.0,34.00015830993652,43.03264617919922,0.42255371500141337,341.0325050354004,81.5122127532959,0.42255371500141337,341.0325050354004,297.9998588562012,81.5122127532959,2.090853722002066,1841.0325050354004,1797.9998588562012,249.81093406677246,7.377936999546364,5,4.882163360000001,11.0813688,0.6127006849954437,14.78866808,5.0,15.0,202,,
