mode,bw,q,rho,delay_mean_ms,delay_sd_ms,loss,se_batch_mean_ms,se_naive_mean_ms,n_seed,n_rows,n_pkt,source,se_mean_ms
cbr,4.0,10,0.6,0.14194768224176504,0.002979521566317226,0.0,0.0038967906200236893,0.0005790944358674045,5,5,59095,phase-L,0.001332482552542393
cbr,4.0,10,0.65,0.13372269306899492,0.004831407370762525,0.0,0.0030086838989568667,0.0006556295690105116,5,5,64060,phase-20R,0.0021606710616037072
cbr,4.0,10,0.7,0.14191113687044982,0.005971207495995462,0.0,0.0030865318532098678,0.0005552885831076785,5,5,69020,phase-L,0.0026704051737604312
cbr,4.0,10,0.75,0.13615892416695366,0.006059193665344389,0.0,0.0061378903028462915,0.0013984312538364199,5,5,73975,phase-20R,0.002709753784909233
cbr,4.0,10,0.8,0.1379586761015827,0.0030661839896359206,0.0,0.0035934945197346386,0.0005323418833760899,5,5,78940,phase-L,0.0013712391664694858
cbr,4.0,10,0.85,0.14581227665749036,0.0057033745858637895,0.0,0.006159440733317602,0.0013277360678041988,5,5,83900,phase-L,0.002550626655027229
cbr,4.0,10,0.9,0.14154708397234503,0.00823400169879751,0.0,0.004404729675777368,0.0007927706505434929,5,5,88860,phase-L,0.003682357505071996
cbr,4.0,10,0.95,0.148154668977644,0.0156298688962305,0.0,0.007468585512690873,0.0011039277053430914,5,5,93820,phase-L,0.006989889866276201
cbr,6.0,13,0.5,0.13857902041338188,0.0035625778773186595,0.0,0.0027081882332910235,0.0006462639423299088,5,5,73975,phase-L,0.0015932332617642857
cbr,6.0,13,0.55,0.13617944751705474,0.006206987258740666,0.0,0.003282229221931688,0.0008240909627578632,5,5,81420,phase-20R,0.002775849089203841
cbr,6.0,13,0.6,0.13817006924376696,0.0031806509608112428,0.0,0.003220737301721426,0.0005140274828506812,5,5,88860,phase-L,0.0014224303522147915
cbr,6.0,13,0.65,0.13738793966337143,0.0053227918977887135,0.0,0.004881808788719401,0.0011819476597765303,5,5,96300,phase-20R,0.002380424902708135
cbr,6.0,13,0.7,0.1414790903120685,0.006456723689221716,0.0,0.005935786055029419,0.0011587965144759893,5,5,103740,phase-L,0.002887534616206597
cbr,6.0,13,0.75,0.13292416252402775,0.007890797126847662,0.0,0.002449324014697253,0.0004259022831858434,5,5,111180,phase-20R,0.0035288717544582804
cbr,6.0,13,0.8,0.14030539929590707,0.004500904084378067,0.0,0.00417633532302992,0.0009169919072642889,5,5,118620,phase-L,0.002012865498575161
cbr,6.0,13,0.85,0.1408075816223488,0.005171414038952138,0.0,0.004915612218946415,0.000980415872227309,5,5,126060,phase-L,0.0023127266661787447
cbr,6.0,13,0.9,0.1329874471607156,0.0029215216894573686,0.0,0.0029920838913884435,0.000403330424034051,5,5,133500,phase-L,0.0013065442190733413
cbr,6.0,13,0.95,0.13845902917760683,0.009353407078182075,0.0,0.006936027656241487,0.0008999407988983076,5,5,140940,phase-L,0.004182970809608562
cbr,8.0,18,0.5,0.14550432963626672,0.009805699567745041,0.0,0.004604370999162452,0.0008230101119071764,5,5,98780,phase-L,0.004385242160083643
cbr,8.0,18,0.55,0.1375680935899424,0.006627892767671218,0.0,0.004460287340733039,0.0011436234293154969,5,5,108700,phase-20R,0.0029640837552184127
cbr,8.0,18,0.6,0.1434851825613109,0.006110762221735476,0.0,0.004402271752002871,0.0007971581035921077,5,5,118620,phase-L,0.0027328159444276333
cbr,8.0,18,0.65,0.12965559376205654,0.0033117441827701585,0.0,0.005019868842460158,0.0008389421663238864,5,5,128545,phase-20R,0.0014810570233527124
cbr,8.0,18,0.7,0.13527282921125394,0.004365288468186037,0.0,0.004033412394601307,0.0008968050196656675,5,5,138465,phase-L,0.0019522163512519812
cbr,8.0,18,0.75,0.1316448628344054,0.004925133555923827,0.0,0.0035911572287238036,0.0006772070287149644,5,5,148385,phase-20R,0.0022025866858621877
cbr,8.0,18,0.8,0.13608133787228696,0.003386201456698005,0.0,0.003160397860445501,0.000659436726807894,5,5,158305,phase-L,0.0015143553285371098
cbr,8.0,18,0.85,0.1344142694140917,0.002643016593389364,0.0,0.00202485077135688,0.0003799215218791535,5,5,168225,phase-L,0.0011819929536957077
h2,4.0,10,0.6,4.578735305149412,0.10369732197783847,0.0044249935089166175,0.2647455190078124,0.057922782420565165,5,5,58962,phase-L,0.04637485220542595
h2,4.0,10,0.62,4.978527808427975,0.39383524301829353,0.0058062348245462424,0.24140080486562532,0.0594811983438972,5,5,60763,phase-20R,0.17612847506481075
h2,4.0,10,0.64,5.541589513773319,0.42556877492304873,0.007861803046130076,0.23185334748166117,0.06224902696402381,5,5,62559,phase-20R,0.19032014196584895
h2,4.0,10,0.66,6.138672270129028,0.3776670639503691,0.010293123389455826,0.24152259061814974,0.06489047315390932,5,5,64395,phase-20R,0.1688978455711571
h2,4.0,10,0.68,6.757186144131427,0.3272247983745983,0.013722658108130226,0.22969772336818645,0.06721016148459966,5,5,66172,phase-20R,0.14633937861785287
h2,4.0,10,0.7,7.5315137668702805,0.20922926758538674,0.020006251068119315,0.38231967594068317,0.07069892042896862,5,5,67748,phase-L,0.0935701730406836
h2,4.0,10,0.72,8.000418934594686,0.29021803222542464,0.022750607484476642,0.3179262888707266,0.07145336100734406,5,5,69443,phase-20R,0.1297894496704548
h2,4.0,10,0.74,8.647631428544473,0.31541694315070745,0.028842500752369715,0.3790347572569054,0.07313959817242607,5,5,70964,phase-20R,0.14105874522803372
h2,4.0,10,0.76,9.226619601122078,0.36178383203531134,0.03490037748648654,0.35446195598844255,0.07450817713467109,5,5,72456,phase-20R,0.16179464831826443
h2,4.0,10,0.78,9.845403809751565,0.2946672840918061,0.04120359285096584,0.35632993184615624,0.07590050184850657,5,5,73859,phase-20R,0.13177921559490416
h2,4.0,10,0.8,10.491153989912851,0.30771835717324697,0.05052107031363414,0.3387395113935761,0.07695408316342806,5,5,74952,phase-L,0.13761583291278803
h2,4.0,10,0.82,10.94726466433993,0.21958156094034972,0.055795115661662675,0.3092058105894413,0.07724762066909244,5,5,76476,phase-20R,0.09819985937362692
h2,4.0,10,0.84,11.512514835587151,0.19089649428153138,0.06412466689690659,0.3244444963209555,0.07752130548997303,5,5,77706,phase-20R,0.0853715075759808
h2,4.0,10,0.86,12.012011180639403,0.2086478206664854,0.0725220379851639,0.31289002248687037,0.07761577765024814,5,5,78886,phase-20R,0.09331014207348937
h2,4.0,10,0.88,12.518629681129902,0.23071127690812698,0.08103184158880937,0.3386021702446249,0.0778018422170021,5,5,79978,phase-20R,0.10317721966846988
h2,4.0,10,0.9,13.02329707534777,0.36725178939670067,0.09170498173782424,0.3449887674785407,0.07797302974358278,5,5,80751,phase-L,0.16423999318989183
h2,4.0,10,0.92,13.385653044802492,0.23769766810716933,0.0985575246166231,0.3545778043534555,0.07783816842377365,5,5,81981,phase-20R,0.10630162879616287
h2,4.0,10,0.94,13.784590332212312,0.24395115667269193,0.10805147273304454,0.3679593298506252,0.07755905118989488,5,5,82947,phase-20R,0.1090982739019681
h2,4.0,10,0.96,14.205363939368997,0.26175926607594874,0.11765102706285864,0.3585292115328171,0.0774332091219868,5,5,83749,phase-20R,0.11706230253725519
h2,4.0,10,0.98,14.752881817309605,0.3044425946466261,0.1293690702563769,0.2546989305499967,0.07725125917318479,5,5,84435,phase-L,0.1361508673752539
h2,4.0,10,1.0,15.115517436268357,0.3041323807445519,0.13834632745701234,0.2749565836360256,0.07684576467312274,5,5,85258,phase-L,0.1360121355007332
h2,4.0,10,1.02,15.474061279425612,0.25474264927508095,0.14823358749498006,0.304308491719434,0.07653100252300216,5,5,85978,phase-L,0.1139243761094937
h2,4.0,10,1.04,15.70575182191772,0.32737227655298934,0.15711028479717412,0.2735233374692679,0.07606024572081092,5,5,86793,phase-20R,0.14640533286426893
h2,6.0,13,0.5,1.622779698401093,0.05684631831001748,1.3352917612498332e-05,0.08644520203141724,0.02296356680234729,5,5,74056,phase-L,0.025422446402358006
h2,6.0,13,0.52,1.8516209448595073,0.10356209793570907,0.00024601570661146355,0.12588569988443193,0.025516288077064936,5,5,77015,phase-20R,0.046314378175347226
h2,6.0,13,0.54,2.1660261628842297,0.1284756880884785,0.0003998858535166551,0.1341557725601242,0.02810138372506743,5,5,79967,phase-20R,0.05745607440437959
h2,6.0,13,0.56,2.4866384484023127,0.13592441306278566,0.0006386091466872056,0.1478228456821528,0.03018099014618995,5,5,82978,phase-20R,0.06078724548202982
h2,6.0,13,0.58,2.8324282589163565,0.16909114456379798,0.000999384478834422,0.16601803646294605,0.032277017810797407,5,5,85977,phase-20R,0.07561985872757926
h2,6.0,13,0.6,3.2781086277954428,0.10300265236705296,0.0014395879723588213,0.14471703375580897,0.03473349788526449,5,5,88776,phase-L,0.046064186511102
h2,6.0,13,0.62,3.6017534873153743,0.1948258724936952,0.00221804505141599,0.17804472600940446,0.03638888163977177,5,5,91760,phase-20R,0.08712877893432179
h2,6.0,13,0.64,4.071061160171157,0.2212681813394721,0.0033604558487839867,0.2076701752330786,0.038671402624645725,5,5,94598,phase-20R,0.098954138946562
h2,6.0,13,0.66,4.566204550517754,0.23358913859129238,0.00456380767961415,0.19685790304099793,0.04096038774565187,5,5,97474,phase-20R,0.10446423853914984
h2,6.0,13,0.68,5.080683778565083,0.263701251677447,0.006753254831524859,0.23154184958352175,0.0429241481982785,5,5,100269,phase-20R,0.11793078490051039
h2,6.0,13,0.7,5.725679081988533,0.08144153522201453,0.009975710045715092,0.2238943635627253,0.045341620617543335,5,5,102834,phase-L,0.03642176178967358
h2,6.0,13,0.72,6.195427193967104,0.25121160243252466,0.012096490138607217,0.27076026256796604,0.04666123654961428,5,5,105661,phase-20R,0.11234524395515533
h2,6.0,13,0.74,6.723915942222933,0.2435967851964204,0.015861287022472942,0.2723865266900328,0.04796386137165813,5,5,108190,phase-20R,0.10893979415992208
h2,6.0,13,0.76,7.278911206894051,0.22694176366273103,0.02028019858124995,0.2248792786818817,0.049262033758566304,5,5,110612,phase-20R,0.10149144209671164
h2,6.0,13,0.78,7.831800576141657,0.1918338845123976,0.025390628735549047,0.23955476952223703,0.05030364279972736,5,5,112953,phase-20R,0.08579072123151303
h2,6.0,13,0.8,8.505510494569055,0.2046106790545154,0.03165996350798243,0.26733895751366593,0.051410260340763556,5,5,114980,phase-L,0.09150467745765777
h2,6.0,13,0.82,8.935009841220388,0.13078519307995456,0.036750360610637,0.2052235129988786,0.05185945355746628,5,5,117485,phase-20R,0.0584889164354427
h2,6.0,13,0.84,9.448857556706756,0.12208991110692133,0.04381427332217852,0.25956427262745413,0.05242747987961012,5,5,119403,phase-20R,0.05460026812039653
h2,6.0,13,0.86,9.994255061483234,0.09902520347786069,0.05138148746406303,0.2628858624472771,0.05293233913105966,5,5,121344,phase-20R,0.04428541729244902
h2,6.0,13,0.88,10.521115207758125,0.10845516527474224,0.05920815175574069,0.2187373044668301,0.05321994402644925,5,5,123138,phase-20R,0.04850262441305966
h2,6.0,13,0.9,11.04107803234666,0.28242914646120887,0.06761336544007379,0.31168159885223645,0.053397520971801685,5,5,124419,phase-L,0.12630615406290144
h2,6.0,13,0.92,11.448324137845942,0.09228119983542614,0.07578352928342232,0.2086756090609711,0.0532806227989174,5,5,126409,phase-20R,0.04126940717545105
h2,6.0,13,0.94,11.877495446482524,0.10113645896169063,0.0852453132664185,0.247930932065068,0.053279327388112606,5,5,127882,phase-20R,0.045229599448391604
h2,6.0,13,0.96,12.343624652043706,0.1378626363752013,0.09436263167562096,0.2558504247313981,0.05321558540914125,5,5,129357,phase-20R,0.061654045298457055
h2,6.0,13,0.98,12.742542478339763,0.1952687241313206,0.10174653711959199,0.28936982692924396,0.052840227450618796,10,10,261424,phase-L,0.061749392405005724
h2,6.0,13,1.0,13.151054051332409,0.21003442876192938,0.11153536600269467,0.2761372765114546,0.05256540916107871,10,10,263844,phase-L,0.06641871819400762
h2,6.0,13,1.02,13.562918082019147,0.17676610493509717,0.12100134514531066,0.27248562102857987,0.05229152358919713,10,10,266283,phase-L,0.05589835047112373
h2,6.0,13,1.04,13.924775027806215,0.14845434645440606,0.13457025739039008,0.22591043176566786,0.05229073403274196,5,5,134018,phase-20R,0.06639080204547136
h2,8.0,18,0.5,1.2291487725152792,0.05020106916114905,0.0,0.04908838414152178,0.01467518469797383,5,5,98948,phase-L,0.022450600637499523
h2,8.0,18,0.52,1.425191193002318,0.0830314275586774,4.8598148354763815e-05,0.09139690213841418,0.017059195949906462,5,5,102967,phase-20R,0.037132783258010414
h2,8.0,18,0.54,1.6462056480653984,0.09176771737180416,4.670278348589576e-05,0.09463785006134169,0.01839314809619024,5,5,106950,phase-20R,0.04103977083666849
h2,8.0,18,0.56,1.8991948323868464,0.11467263248445857,0.00010816604022100783,0.11240991887854597,0.02022866084147573,5,5,110889,phase-20R,0.05128316027881999
h2,8.0,18,0.58,2.1942105234931404,0.13077969218232985,0.00013939490523431404,0.13287018593565741,0.022218838689612348,5,5,114846,phase-20R,0.05848645635923747
h2,8.0,18,0.6,2.512624916690457,0.10958463752687049,0.0001429874868628202,0.10852658067773438,0.02339429322307258,5,5,118722,phase-L,0.04900773975995137
h2,8.0,18,0.62,2.8633381326369336,0.16204271035280704,0.00043075652372891497,0.15362770706303427,0.025859832145296163,5,5,122871,phase-20R,0.07246770312143709
h2,8.0,18,0.64,3.2539074840735496,0.15507099970133442,0.0007399495137627494,0.19664686512330784,0.027810240710680022,5,5,126829,phase-20R,0.06934985933420666
h2,8.0,18,0.66,3.7020741810583777,0.1886038566380518,0.0012522269987993839,0.17597627150568287,0.029773561399364868,5,5,130724,phase-20R,0.08434620885226175
h2,8.0,18,0.68,4.154220688970982,0.20100599799835758,0.00193414479473655,0.19083642591801903,0.031669025382349225,5,5,134577,phase-20R,0.08989261508190284
h2,8.0,18,0.7,4.724165826703269,0.1906596981518226,0.002708105462506472,0.1978226272115967,0.03400497422355741,5,5,138061,phase-L,0.08526560912741327
h2,8.0,18,0.72,5.213313121724902,0.1732465221010062,0.004443609752880374,0.1966755403962771,0.035810033259239704,5,5,142201,phase-20R,0.0774782000566539
h2,8.0,18,0.74,5.767945729969483,0.15829144408912318,0.006308343512022861,0.20816766063512698,0.03743442398970852,5,5,145930,phase-20R,0.07079008584797734
h2,8.0,18,0.76,6.383455549781248,0.11059070152163132,0.009081573806074734,0.2792947672599285,0.0390905525189658,5,5,149548,phase-20R,0.04945766525635141
h2,8.0,18,0.78,7.015004608290677,0.09526378192167764,0.012169644121187245,0.28224535430620235,0.04063325390321182,5,5,152973,phase-20R,0.04260325843411735
h2,8.0,18,0.8,7.634576789476194,0.30964384007498125,0.014718064266146252,0.2474421546764784,0.0417319037870302,5,5,156019,phase-L,0.13847693504434633
h2,8.0,18,0.82,8.25701989162527,0.05163863918972389,0.01978119886861051,0.24935274441187477,0.04285597497900356,5,5,159599,phase-20R,0.023093501498761455
h2,8.0,18,0.84,8.925038441127455,0.06692104543026577,0.02529273148851834,0.23095816143405892,0.043929705425484813,5,5,162648,phase-20R,0.029928001341485183
h2,8.0,18,0.86,9.584644864954335,0.05746681793646508,0.03159802441200676,0.21047110932199214,0.04476750903701254,5,5,165489,phase-20R,0.02569994227130802
h2,8.0,18,0.88,10.218555298646582,0.06247812366071245,0.03787853338701734,0.2759425446663261,0.04527749642820823,5,5,168220,phase-20R,0.027941066322398206
h2,8.0,18,0.9,10.835552270861712,0.3015034657991929,0.04320346356791534,0.2935607548259379,0.045402483935967346,5,5,170505,phase-L,0.13483644899575564
h2,8.0,18,0.92,11.434660598275887,0.0842979637101114,0.05318818724728892,0.2547325328082236,0.04588830358855174,5,5,173032,phase-20R,0.037699195444123895
h2,8.0,18,0.94,12.056674940633561,0.09958517284065307,0.06105452755684308,0.2956970828343398,0.04600697158497617,5,5,175338,phase-20R,0.04453584320455322
h2,8.0,18,0.96,12.64530823510681,0.08943789283391629,0.07047200259231676,0.30143563202382034,0.04606429729618271,5,5,177278,phase-20R,0.03999784162819563
poisson,4.0,10,0.6,1.0162691940841926,0.08260035655183191,0.0001184808367260546,0.0681605404185328,0.020969564041019323,5,5,59159,phase-L,0.03694000244312325
poisson,4.0,10,0.62,1.162828412524501,0.058709430917072744,1.6467682173734046e-05,0.08051865437178066,0.022564184334957667,5,5,61097,phase-20R,0.026255655690180492
poisson,4.0,10,0.64,1.2986646661486616,0.04875154662348521,3.189284005740711e-05,0.08830817472918429,0.02383643290735108,5,5,63080,phase-20R,0.021802354451672654
poisson,4.0,10,0.66,1.4756898841233288,0.06105040453919931,9.252696859583818e-05,0.10014101397455888,0.02574086534948596,5,5,65067,phase-20R,0.027302570920702277
poisson,4.0,10,0.68,1.6799377351070954,0.06516079349213487,0.00011988726712235135,0.1068116714453455,0.02781443137005456,5,5,67030,phase-20R,0.029140792743247892
poisson,4.0,10,0.7,1.8738713493179666,0.12600290711075382,0.00030414724912378963,0.11168279150074886,0.02991822744720072,5,5,69022,phase-L,0.05635021313244743
poisson,4.0,10,0.72,2.185128506030219,0.06033809870713549,0.0003103499869939957,0.1652240185537751,0.03256280282852135,5,5,70994,phase-20R,0.026984018068449425
poisson,4.0,10,0.74,2.5339687256848196,0.08014438004915571,0.0005896032086249348,0.17629968314747899,0.035721838258548896,5,5,72954,phase-20R,0.03584165636089802
poisson,4.0,10,0.76,2.9143942570601,0.08694920676243352,0.0009475592719100153,0.21708896593075896,0.0386931043457823,5,5,74901,phase-20R,0.03888486738209715
poisson,4.0,10,0.78,3.343350170368646,0.09840109485127062,0.001391152651643766,0.2533534859116525,0.04185530994124201,5,5,76839,phase-20R,0.04400630742956913
poisson,4.0,10,0.8,3.7338926903735876,0.22082512502134666,0.002211667849635142,0.24435674681628944,0.043947259651314116,5,5,78906,phase-L,0.09875599813752416
poisson,4.0,10,0.82,4.38182095518985,0.1762694951637398,0.0032013368588717393,0.2959293449232391,0.04809901784040658,5,5,80663,phase-20R,0.07883011470913852
poisson,4.0,10,0.84,4.985845248841199,0.19488449926991674,0.004451514047423307,0.29451832407505096,0.05089906289107984,5,5,82548,phase-20R,0.08715499762570839
poisson,4.0,10,0.86,5.733902026490758,0.17681847857328198,0.006067085972812156,0.3548218779455824,0.05416788711498845,5,5,84384,phase-20R,0.0790756275535897
poisson,4.0,10,0.88,6.5634017710183326,0.13502227845879614,0.008587409784421383,0.38637259893695014,0.05744295546548438,5,5,86138,phase-20R,0.06038379862215473
poisson,4.0,10,0.9,7.39043299232779,0.16886629494926647,0.011319446199062723,0.31839785444604385,0.059305299556433454,5,5,87959,phase-L,0.07551930292301784
