z_s,n,rms_e_model,rms_e_stale,cov_e,rms_total,corr_e
0.054999999701976776,10000,2.15153199684004,8.380710429373005,-3.5175494720007237,8.235915145897662,-0.1950794713037984
0.05999999865889549,10000,2.151516563529447,8.750329426276071,-3.800725655063575,8.578801622684098,-0.2018819194093293
0.06499999761581421,10000,2.154252267070005,9.067916761952993,-4.1808412469629035,8.860374412966898,-0.21402257919858125
0.07000000029802322,10000,2.1550419912997585,9.404675634379032,-4.50166806104212,9.169994201201202,-0.22211296524260346
0.07500000298023224,10000,2.156471303241773,9.690317532082561,-4.8464108122924445,9.426547657000787,-0.23192017679699786
0.07999999821186066,10000,2.151944323227236,9.952683619005155,-5.110093807161233,9.667811953899445,-0.23859296994896337
0.08500000089406967,10000,2.1496905740727006,10.207598074529097,-5.301260318957617,9.910282911071304,-0.2415903691083778
0.09000000357627869,10000,2.148072758563751,10.496008806235114,-5.543349757117574,10.183011240414773,-0.24586635755211947
0.0949999988079071,10000,2.1482050735310754,10.74517136539537,-5.813019371850053,10.413810732193916,-0.25183302732214413
0.10000000149011612,10000,2.150601599369862,11.00327723952025,-6.137661196530062,10.64997065047113,-0.25937068637611743
0.10499999672174454,10000,2.147766013824898,11.262297678343433,-6.499694479060277,10.883605050149542,-0.26870699670275355
0.10999999940395355,10000,2.1488630093008307,11.489469536386203,-6.706026723109979,11.100156260795073,-0.2716167646296422
0.11500000208616257,10000,2.148021377584482,11.729931080961588,-6.992895098513116,11.323404470637017,-0.27753831911349014
0.11999999731779099,10000,2.1493785244128567,11.987133397342365,-7.371621923852648,11.557160173640522,-0.2861111673843393
0.125,10000,2.1489110875827113,12.252237977213504,-7.700583057867535,11.803981878877725,-0.29247566642616984
0.12999999523162842,10000,2.1433108017669023,12.420817210743595,-7.93781625227307,11.958045361643718,-0.29817121717023587
0.13500000536441803,10000,2.1447891726002517,12.628413504436013,-8.209419318472353,12.15146532715213,-0.303095184504457
0.14000000059604645,10000,2.1428752063120506,12.863316432067643,-8.505236100961357,12.371190386515183,-0.3085578080607571
0.14499999582767487,10000,2.138877436854967,13.034564182332776,-8.742932027133913,12.529516992245629,-0.31359901358383235
0.15000000596046448,10000,2.136472998261634,13.2332747359807,-9.03167434431221,12.71301413597978,-0.31945047075566485
0.1550000011920929,10000,2.13070952658675,13.409598096257652,-9.235141433353961,12.87971122825106,-0.32322395617342736
0.1599999964237213,10000,2.1297683289324634,13.554063154952116,-9.454096887411504,13.013083699436166,-0.32750518445362614
0.16500000655651093,10000,2.131189795075358,13.692022373616894,-9.660324095671442,13.141263197688268,-0.33105638529181997
0.17000000178813934,10000,2.13402549504904,13.868659463490626,-9.962391721700143,13.302969468670787,-0.3366119472344154
0.17499999701976776,10000,2.137150503736104,14.05108506622377,-10.321507072199996,13.466899779439816,-0.34371472975071354
0.18000000715255737,10000,2.136846967467712,14.182053398075027,-10.445320416132695,13.594341201984081,-0.34467455986450224
0.1850000023841858,10000,2.133264890833531,14.355239505841944,-10.62617440012989,13.761227109683514,-0.3469937966776027
0.1899999976158142,10000,2.1283316942212838,14.53165285561215,-10.823012952857445,13.930280133971918,-0.34994021255021585
0.19499999284744263,10000,2.1284935021296367,14.728594195658475,-11.127746383089304,14.114052529405367,-0.3549552414954543
0.20000000298023224,10000,2.1358111277493124,14.913783198914022,-11.5197835705514,14.280863115950842,-0.3616543135639197
0.20499999821186066,10000,2.136730714349212,15.037289672167622,-11.775709268653687,14.392160376156701,-0.36649471482564744
0.20999999344348907,10000,2.1325167892739447,15.173089413484362,-11.91218249190179,14.523976907938229,-0.3681500484401316
0.2150000035762787,10000,2.13401276092181,15.30426364530284,-12.162867935580165,14.6440691174808,-0.3724144644438281
0.2199999988079071,10000,2.136891227745974,15.472940229139999,-12.496882462866003,14.79812212843321,-0.3779605054014564
0.22499999403953552,10000,2.135630526603958,15.613426453189373,-12.714280399117772,14.930219106131057,-0.381300560084746
0.23000000417232513,10000,2.1350164010287407,15.769943702636546,-12.90027443093711,15.081408109162538,-0.3831489067693801
0.23499999940395355,10000,2.1362785353192435,15.915529235517687,-13.105806458360902,15.22025439703168,-0.3854648563344003
0.23999999463558197,10000,2.1325979981106524,16.05584994228739,-13.282916409714526,15.354883873587795,-0.38792801289654405
0.24500000476837158,10000,2.1314857135980674,16.208609960142883,-13.526994520191316,15.498654107596987,-0.3915372771912955
0.25,10000,2.132874686854228,16.35101819303514,-13.826437699068872,15.628565992459189,-0.39646071448764714
0.2549999952316284,10000,2.130686290337838,16.465403261271586,-13.959173624055605,15.739472080600907,-0.39789439909022073
0.25999999046325684,10000,2.1319651845872074,16.595422630394474,-14.196354554155603,15.860662619241033,-0.4012438714457928
