episode,train_loss
8,1.55711532
9,0.71008759
10,0.36225014
11,0.29884069
12,0.27410429
13,0.24249153
14,0.23572593
15,0.20309395
16,0.15458372
17,0.10964189
18,0.12704151
19,0.15783427
20,0.18321671
21,0.12590781
22,0.12723629
23,0.14297478
24,0.11525251
25,0.09973615
26,0.11923297
27,0.0938188
28,0.08720707
29,0.09647219
30,0.10780695
31,0.13054028
32,0.1351684
33,0.29464768
34,0.60871816
35,0.1380641
36,0.13835715
37,0.08716149
38,0.07126057
39,0.05955788
40,0.05481657
41,0.04867116
42,0.04712941
43,0.03849864
44,0.03589565
45,0.03780872
46,0.02610695
47,0.02743826
48,0.02976818
49,0.02722927
50,0.02700584
51,0.02689589
52,0.02311404
53,0.02543841
54,0.02211328
55,0.0304811
56,0.02983188
57,0.02875963
58,0.16353931
59,0.59187797
60,0.20900602
61,0.12901332
62,0.10101104
63,0.07234293
64,0.05654631
65,0.05010211
66,0.04673408
67,0.03772375
68,0.04522302
69,0.0327416
70,0.03724446
71,0.03927013
72,0.0392114
73,0.03499487
74,0.0408441
75,0.03814208
76,0.03090788
77,0.03516972
78,0.03034247
79,0.03267606
80,0.03449808
81,0.03235867
82,0.02629794
83,0.16064464
84,0.42746702
85,0.20657104
86,0.05918562
87,0.06457164
88,0.05327299
89,0.04632063
90,0.03251808
91,0.02788476
92,0.02311015
93,0.02614616
94,0.02305607
95,0.0241025
96,0.02430891
97,0.02215908
98,0.02093639
99,0.02672868
100,0.02302865
101,0.02079354
102,0.02022884
103,0.02085483
104,0.02129895
105,0.02179064
106,0.018411
107,0.01846797
108,0.13641559
109,0.36336719
110,0.19589473
111,0.07721526
112,0.05779452
113,0.04744775
114,0.02968489
115,0.0211232
116,0.0248355
117,0.01914454
118,0.02110078
119,0.01759998
120,0.0189539
121,0.02054678
122,0.01834197
123,0.01904191
124,0.02061372
125,0.01814098
126,0.01859961
127,0.01622749
128,0.01879859
129,0.0209202
130,0.01710039
131,0.02147805
132,0.01486446
133,0.11260201
134,0.29655231
135,0.1506517
136,0.08026612
137,0.04490818
138,0.03959341
139,0.02859793
140,0.02147316
141,0.02028641
142,0.01813962
143,0.01915207
144,0.02004516
145,0.0237379
146,0.02065737
147,0.02182499
148,0.02000292
149,0.01955223
150,0.01656987
151,0.01743669
152,0.02261037
153,0.0156194
154,0.01910571
155,0.01832332
156,0.01812321
157,0.02085319
158,0.11331961
159,0.26218339
160,0.1472186
161,0.07681374
162,0.04131945
163,0.02977786
164,0.02783335
165,0.0190402
166,0.02337103
167,0.0176032
168,0.01920436
169,0.02206328
170,0.0254587
171,0.02927603
172,0.02329892
173,0.02399418
174,0.02072981
175,0.01737363
176,0.01738276
177,0.01962553
178,0.01736065
179,0.01453606
180,0.02327325
181,0.02423199
182,0.01766531
183,0.10211699
184,0.2439028
185,0.1318609
186,0.07744969
187,0.0469844
188,0.02825722
189,0.02480108
190,0.0264951
191,0.02023178
192,0.0258359
193,0.01918482
194,0.02503622
195,0.02561784
196,0.01847582
197,0.02565366
198,0.0249324
199,0.01627507
200,0.02529688
201,0.01912924
202,0.01937586
203,0.01769956
204,0.02472905
205,0.02467775
206,0.02667884
207,0.02568434
208,0.10210371
209,0.24141822
210,0.12377593
211,0.08676978
212,0.05708259
213,0.04651359
214,0.04176729
215,0.02913136
216,0.03469254
217,0.02473331
218,0.02609309
219,0.02653207
220,0.02183756
221,0.02120285
222,0.02438369
223,0.0192499
224,0.01797738
225,0.02451808
226,0.02497508
227,0.0216696
228,0.0244721
229,0.02839332
230,0.02612869
231,0.01615411
232,0.02286297
233,0.10027595
234,0.2027106
235,0.10491885
236,0.06422284
237,0.04468017
238,0.04298581
239,0.03084054
240,0.02683549
241,0.02268432
242,0.0213282
243,0.02455259
244,0.02052305
245,0.02348493
246,0.01960323
247,0.02581845
248,0.02504352
249,0.02729363
250,0.02344991
