trial,cid,post_ms,route_ms,lock_wait_ms,exec_ms,command_done_ms,t1_s,t1_command_to_sample_ms,t1_sample_to_seen_ms,t_change_s,t_change_command_to_sample_ms,metric_change_after_exec_ms,t_change_sample_to_seen_ms,t2_s,t2_command_to_sample_ms,metric_settle_after_exec_ms,t2_sample_to_seen_ms,t2_fetch_ms,n_collector_samples,rate_before_mbps,rate_change_mbps,rate_after_mbps,cap_before_mbps,cap_after_mbps,http_status,post_error,execute_error
1,27d14e99-f4f7-4ee5-b847-073719f5785a,31.334716999481316,8.16488265991211,0.0,35.00008583068848,43.164968490600586,1.0502774369997496,858.1650257110596,192.10171699523926,1.0502774369997496,858.1650257110596,815.000057220459,192.10171699523926,3.963769563000824,3858.1650257110596,3815.000057220459,105.59439659118652,7.1263339996221475,5,4.88335936,13.238486640000001,14.720863679999999,5.0,15.0,202,,
2,d48235e6-d3a8-41ac-b00f-9245be897c09,33.03479699934542,9.267807006835938,0.0,35.00008583068848,44.267892837524414,1.0501535280000098,901.2677669525146,148.87547492980957,1.0501535280000098,901.2677669525146,856.9998741149902,148.87547492980957,4.178358060000392,3902.2679328918457,3858.0000400543213,276.0803699493408,7.393636000415427,5,4.8949476,13.57110424,14.637237359999999,5.0,15.0,202,,
3,012f2f14-7326-4386-885c-e092f640dc24,29.249880999486777,9.314298629760742,0.0,32.99999237060547,42.31429100036621,1.0497880349994375,737.3144626617432,312.46280670166016,1.0497880349994375,737.3144626617432,695.000171661377,312.46280670166016,3.9626597369988303,3738.314390182495,3696.000099182129,224.3354320526123,7.704124998781481,5,4.87127336,11.608063679999999,14.65010304,5.0,15.0,202,,
4,51048532-43d0-417e-ad98-4b76fc5d411c,29.129283999282052,14.121532440185547,0.0,38.99979591369629,53.121328353881836,1.0539673719995335,779.1213989257812,273.6485004425049,1.0539673719995335,779.1213989257812,726.0000705718994,273.6485004425049,3.9688758550000784,3778.1214714050293,3725.0001430511475,189.56327438354492,7.2170450002886355,5,4.90710712,12.35244968,14.637349039999998,5.0,15.0,202,,
5,29d17e23-0ffa-40f6-9d07-c6a3ac1e5718,26.774167999974452,8.857488632202148,0.0,35.00008583068848,43.857574462890625,1.0475647499988554,817.8575038909912,229.69675064086914,1.0475647499988554,817.8575038909912,773.9999294281006,229.69675064086914,3.9593217269994057,3818.857431411743,3774.9998569488525,140.45333862304688,7.527155001298524,5,4.8949020800000005,12.86187984,14.68473088,5.0,15.0,202,,
