run_id,timestamp_utc,cfg_bw_mbps,cfg_delay_ms,cfg_queue_pkts,offered_mbps,rho_offered,throughput_mbps,rho_measured,loss_rate,samples,mean_netem_pkts,max_netem_pkts,p0,p1,p_full,netem_distribution,htb_distribution
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,3.981299,0.995325,0.0,200,0.64,1,0.36,0.64,0.0,0p:0.360 1p:0.640,0p:0.365 1p:0.635
ac24976ba471,2026-07-18T02:12:53Z,4.0,2.0,13,3.72,0.93,3.990508,0.997627,0.00080107,200,8.91,13,0.0,0.0,0.075,4p:0.080 5p:0.090 6p:0.075 7p:0.090 8p:0.105 9p:0.080 10p:0.090 11p:0.110 12p:0.200 13p:0.075,4p:0.080 5p:0.090 6p:0.075 7p:0.090 8p:0.105 9p:0.080 10p:0.090 11p:0.110 12p:0.200 13p:0.075
2ae80a995212,2026-07-18T02:13:08Z,4.0,2.0,13,3.74,0.935,3.990077,0.997519,0.00745077,200,12.245,13,0.0,0.0,0.4,9p:0.015 10p:0.035 11p:0.040 12p:0.510 13p:0.400,9p:0.015 10p:0.035 11p:0.040 12p:0.510 13p:0.400
26c9529ae5e4,2026-07-18T02:13:23Z,4.0,2.0,13,3.76,0.94,3.990917,0.997729,0.01377483,200,12.49,13,0.0,0.0,0.49,12p:0.510 13p:0.490,12p:0.510 13p:0.490
4c1b222b7100,2026-07-18T02:13:38Z,4.0,2.0,13,3.78,0.945,3.991386,0.997847,0.01896733,200,12.52,13,0.0,0.0,0.52,12p:0.480 13p:0.520,12p:0.475 13p:0.525
f19215b21730,2026-07-18T02:13:53Z,4.0,2.0,13,3.8,0.95,3.990078,0.997519,0.02401462,200,12.505,13,0.0,0.0,0.505,12p:0.495 13p:0.505,12p:0.495 13p:0.505
