z_steps,aoi_mean_s,wrong_excess,cost_of_blindness,blind_wrong_rate,clair_wrong_rate,blind_safe_path_freq,clair_safe_path_freq,safe_path_gap_blind_minus_clair,blind_return,clair_return
0,0.0,0.0,0.0,0.21333333333333332,0.21333333333333332,0.31,0.31,0.0,3.969165821546353,3.969165821546353
1,0.5,0.062,0.10015711743461342,0.2753333333333333,0.21333333333333332,0.346,0.31,0.035999999999999976,3.8690087041117396,3.969165821546353
2,1.0,0.09599999999999997,0.1364176740162999,0.3093333333333333,0.21333333333333332,0.41,0.31,0.09999999999999998,3.832748147530053,3.969165821546353
3,1.5,0.10933333333333328,0.20348504434438608,0.3226666666666666,0.21333333333333332,0.282,0.31,-0.028000000000000025,3.765680777201967,3.969165821546353
5,2.5,0.15000000000000002,0.23663170342561424,0.36333333333333334,0.21333333333333332,0.256,0.31,-0.05399999999999999,3.7325341181207388,3.969165821546353
8,4.0,0.1826666666666667,0.27888563300401703,0.396,0.21333333333333332,0.264,0.31,-0.045999999999999985,3.690280188542336,3.969165821546353
12,6.0,0.20600000000000002,0.3171068021280181,0.41933333333333334,0.21333333333333332,0.298,0.31,-0.01200000000000001,3.652059019418335,3.969165821546353
20,10.0,0.22333333333333333,0.3282653123412964,0.43666666666666665,0.21333333333333332,0.382,0.31,0.07200000000000001,3.6409005092050566,3.969165821546353
