run_id,timestamp_utc,cfg_bw_mbps,cfg_delay_ms,cfg_queue_pkts,offered_mbps,rho_offered,sample_idx,t_rel_s,netem_backlog_bytes,netem_backlog_pkts,htb_backlog_bytes,htb_backlog_pkts
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,45,2.53523,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,46,2.591442,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,47,2.647712,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,48,2.704053,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,49,2.760909,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,50,2.817039,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,51,2.873897,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,52,2.930125,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,53,2.986141,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,54,3.042117,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,55,3.098089,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,56,3.154064,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,57,3.210224,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,58,3.266459,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,59,3.323018,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,60,3.379274,1512,1,1512,1
