run_id,timestamp_utc,cfg_bw_mbps,cfg_delay_ms,cfg_queue_pkts,offered_mbps,rho_offered,throughput_mbps,rho_measured,loss_rate,samples,mean_netem_pkts,max_netem_pkts,p0,p1,p_full,netem_distribution,htb_distribution
2ae9921c16f8,2026-07-18T01:58:54Z,4.0,2.0,13,1.2,0.3,1.291392,0.322848,0.0,200,0.2,1,0.8,0.2,0.0,0p:0.800 1p:0.200,0p:0.800 1p:0.200
a452301bceb6,2026-07-18T01:59:09Z,4.0,2.0,13,2.0,0.5,2.152075,0.538019,0.0,200,0.39,1,0.61,0.39,0.0,0p:0.610 1p:0.390,0p:0.610 1p:0.390
83f11289e068,2026-07-18T01:59:24Z,4.0,2.0,13,2.8,0.7,3.001529,0.750382,0.0,200,0.54,1,0.46,0.54,0.0,0p:0.460 1p:0.540,0p:0.460 1p:0.540
5330b1b622d3,2026-07-18T01:59:39Z,4.0,2.0,13,3.6,0.9,3.874061,0.968515,0.0,200,0.615,1,0.385,0.615,0.0,0p:0.385 1p:0.615,0p:0.385 1p:0.615
437ee53eb436,2026-07-18T01:59:53Z,4.0,2.0,13,3.7,0.925,3.980699,0.995175,0.0,200,0.67,1,0.33,0.67,0.0,0p:0.330 1p:0.670,0p:0.330 1p:0.670
5e6a23f9f29a,2026-07-18T02:00:08Z,4.0,2.0,13,3.8,0.95,3.990439,0.99761,0.02391474,200,12.505,13,0.0,0.0,0.505,12p:0.495 13p:0.505,12p:0.495 13p:0.505
e03b6f586dac,2026-07-18T02:00:24Z,4.0,2.0,13,5.2,1.3,3.990928,0.997732,0.28680251,200,12.63,13,0.0,0.0,0.63,12p:0.370 13p:0.630,12p:0.365 13p:0.635
