family,param,kappa,policy,coverage,p_reject,n_accept,n_reject,err_system,err_accept,err_reject,err_delta_vs_anchor,regret_system,regret_accept,regret_reject,regret_delta_vs_anchor,sla_system,sla_accept,sla_reject,sla_delta_vs_anchor,eps
multiplicative,6.0,6.0,static,0.0,1.0,0,499967,0.34516878113955524,,0.34516878113955524,0.1244422131860703,1.1835450180133642,,1.1835450180133642,0.6717583735042025,0.24098990533375203,,0.24098990533375203,0.11585964673668461,
multiplicative,8.0,8.0,static,0.0,1.0,0,499967,0.34516878113955524,,0.34516878113955524,0.1244422131860703,1.1835450180133642,,1.1835450180133642,0.6717583735042025,0.24098990533375203,,0.24098990533375203,0.11585964673668461,
multiplicative,4.0,4.0,static,1.8001188078413174e-05,0.9999819988119216,9,499958,0.34516878113955524,0.0,0.34517499469955476,0.1244422131860703,1.1835450180133642,0.0,1.183566323613359,0.6717583735042025,0.24098990533375203,0.0,0.24099424351645538,0.11585964673668461,
multiplicative,3.0,3.0,static,0.0003280216494288623,0.9996719783505711,164,499803,0.34516878113955524,0.0,0.3452820411242029,0.1244422131860703,1.1835450180133642,0.0,1.183933373791449,0.6717583735042025,0.24098990533375203,0.0,0.24106898117858436,0.11585964673668461,
multiplicative,2.0,2.0,static,0.006982460842415599,0.9930175391575844,3491,496476,0.3448047571139695,0.0,0.34722927190841046,0.12407818916048458,1.179765961422854,0.0,1.1880615547069748,0.6679793169136923,0.24064388249624474,0.004583213978802635,0.24230375687847952,0.11551362389917733,
multiplicative,1.5,1.5,static,0.02843587676786668,0.9715641232321334,14217,485750,0.3424646026637758,7.033832735457551e-05,0.35248584662892435,0.12173803471029088,1.159550066528963,2.3294140402590027e-05,1.1934872608121296,0.6477634220198014,0.23852374256700942,0.012449883941759865,0.24514050437467833,0.113393483969942,
multiplicative,1.25,1.25,static,0.05547166112963456,0.9445283388703655,27734,472233,0.33901437494874664,0.0017307276267397417,0.3588228692192202,0.1182878069952617,1.133954398315071,0.0014511511555064978,1.2004657286471812,0.6221677538059094,0.2355615470621061,0.01676642388404125,0.24841127155450804,0.11043128846503869,
multiplicative,1.0,1.0,static,0.11229941176117623,0.8877005882388238,56146,443821,0.33076183028079853,0.007747657891924625,0.371625047034728,0.11003526232731359,1.079775616785948,0.00915289011902708,1.2152157685846257,0.5679889722767864,0.22875109757243978,0.024756883838563743,0.2545575806462515,0.10362083897537236,
multiplicative,0.75,0.75,static,0.22807505295349492,0.771924947046505,114030,385937,0.30947042504805317,0.021924055073226343,0.39442966079956054,0.08874385709456822,0.953653843072577,0.035619336048644645,1.2248988256369309,0.4418671985634153,0.2120699966197769,0.03889327369990354,0.2632372641130547,0.08693973802270949,
multiplicative,0.5,0.5,static,0.4287442971236102,0.5712557028763898,214358,285609,0.27522416479487644,0.06743391895800484,0.43117688868347986,0.054497596841391494,0.7729105231530247,0.12683816728841507,1.2578069306836905,0.261123878643863,0.18656431324467415,0.06588044299722894,0.27714112650511713,0.061434054647606734,
multiplicative,0.4,0.4,static,0.5200063204171476,0.4799936795828525,259986,239981,0.2606132004712311,0.08700468486764672,0.448693854930182,0.03988663251774616,0.6994954720859301,0.16848606839287839,1.274770226456242,0.18770882757676843,0.1751535601349689,0.07540406021862715,0.2832182547785033,0.05002330153790149,
multiplicative,0.35,0.35,static,0.5686415303410025,0.4313584696589975,284302,215665,0.2520786371900545,0.09961941878706446,0.4530591426517979,0.03135206923656958,0.6637663752563504,0.1955613690512001,1.2809811281097878,0.15197973074718873,0.16877713929119323,0.08123052247258197,0.2841861219947604,0.04364688069412581,
multiplicative,0.3,0.3,static,0.6220710566897415,0.3779289433102585,311015,188952,0.2434980708726776,0.11305242512419016,0.4582116092975994,0.022771502919192665,0.6263289948935366,0.22433957862739545,1.2880035910873524,0.11454235038437488,0.16161466656799348,0.08577721331768565,0.2864431178288666,0.03648440797092606,
multiplicative,0.25,0.25,static,0.6817869979418641,0.31821300205813585,340871,159096,0.2347034904303684,0.12852956103628646,0.46218635289385024,0.013976922476883452,0.592324736962765,0.2596459441422222,1.3051054026459454,0.08053809245360333,0.15479421641828361,0.09221377001857008,0.28887589882838033,0.029663957821216197,
multiplicative,0.2,0.2,static,0.7433990643382463,0.2566009356617537,371675,128292,0.22711298945730418,0.14413398802717428,0.4675116141302653,0.0063864215038192396,0.5599228728984993,0.3016937860399741,1.3080388572010464,0.04813622838933762,0.14748373392643915,0.09776013990717697,0.29153805381473513,0.022353475329371736,
