cell,c3_beneficial,c3_band_low,c3_band_high,c3_improvement_area,c3_partial_aurc_060_100,gap_closed_C3_vs_B6sys_at_078,best_selector_at_078,best_delta_vs_anchor_at_078
poisson@0.925,True,0.6076,0.99995,0.0034038491000160107,0.21389852561272008,0.10019153806624399,B2_constant_gap,-0.012984857000562039
poisson@0.850,True,0.8091,0.9892000000000001,0.0005961486418169557,0.22545362076354108,-0.03177577708070223,C3_conformal,0.0031202059335916077
h2@0.700,True,0.84285,0.99995,0.00027437739803829397,0.13090319911700996,-0.0860487891737895,B3_aoi,-0.0013780909540029584
