kappa,p_accept,p_reject,n_accept,n_reject,break_even_err_reject,anchor_err_reject,anchor_err_system,anchor_regret_system,anchor_sla_system,static_err_reject,static_err_system,static_err_system_vs_anchor_pct,static_regret_reject,static_regret_system,static_regret_system_vs_anchor_pct,static_sla_reject,static_sla_system,static_sla_system_vs_anchor_pct,sticky_err_reject,sticky_err_system,sticky_err_system_vs_anchor_pct,sticky_regret_reject,sticky_regret_system,sticky_regret_system_vs_anchor_pct,sticky_sla_reject,sticky_sla_system,sticky_sla_system_vs_anchor_pct,wait_err_reject,wait_err_system,wait_err_system_vs_anchor_pct,wait_regret_reject,wait_regret_system,wait_regret_system_vs_anchor_pct,wait_sla_reject,wait_sla_system,wait_sla_system_vs_anchor_pct
0.05,0.948734616484688,0.05126538351531196,474336,25631,0.5162498536927943,0.5162498536927939,0.22239867831276863,1.7674606558720711,0.1539501607106069,0.41324958058600914,0.21711832980976745,-2.374271530325922,3.3653467937487553,1.6936528071947825,-4.175925977875394,0.2552768132339745,0.1509119601893725,-1.9734961673379292,0.4777417970426437,0.22042454802016934,-0.8876537880422974,4.258955511202275,1.7394640008076632,-1.5840044286923205,0.29565760212242986,0.15298209681839,-0.6288164219826031,0.4777417970426437,0.22042454802016934,-0.8876537880422974,4.258955511202275,1.7394640008076632,-1.5840044286923205,0.29565760212242986,0.15298209681839,-0.6288164219826031
0.1,0.8975072354775415,0.10249276452245848,448724,51243,0.4964580528072128,0.49645805280721267,0.22239867831276863,1.7674606558720711,0.1539501607106069,0.39421969830025566,0.21191998671912346,-4.711669904309657,3.356813587917754,1.6276544426264181,-7.91000426409334,0.23640302090041568,0.14812377616922717,-3.784591399246462,0.48703237515367953,0.22143261455256047,-0.434383768616442,4.6274104266919265,1.7578814252258792,-0.5419770230452703,0.2782233670940421,0.1524100590638982,-1.0003897622450464,0.48703237515367953,0.22143261455256047,-0.434383768616442,4.6274104266919265,1.7578814252258792,-0.5419770230452703,0.2782233670940421,0.1524100590638982,-1.0003897622450464
0.15,0.8455658073432847,0.15443419265671532,422755,77212,0.4795886649743563,0.4795886649743563,0.22239867831276863,1.7674606558720711,0.1539501607106069,0.39597471895560277,0.20948582606452026,-5.80617310597884,3.2862674728203958,1.5834967822920427,-10.408371635817826,0.24149095995441122,0.1470977084487576,-4.451084838248676,0.4662876236854375,0.22034454273982082,-0.9236275991078458,4.401165658991053,1.7556751835677442,-0.6668025262781319,0.27030772418795007,0.1515480021681431,-1.5603481876055647,0.4662876236854375,0.22034454273982082,-0.9236275991078458,4.401165658991053,1.7556751835677442,-0.6668025262781319,0.27030772418795007,0.1515480021681431,-1.5603481876055647
0.2,0.7934603683843133,0.20653963161568667,396704,103263,0.4577341351694217,0.45773413516942174,0.22239867831276863,1.7674606558720711,0.1539501607106069,0.39369377221269963,0.2091718053391524,-5.9473703144111045,3.2387796142975516,1.5676911520912342,-11.302628045333773,0.23524398865033944,0.14563761208239745,-5.399506301156299,0.4600776657660537,0.2228827102588771,0.2176415569465462,4.345154411494743,1.796201395133222,1.626103481605945,0.2734377269690015,0.15352613272475985,-0.2754319864882393,0.4600776657660537,0.2228827102588771,0.2176415569465462,4.345154411494743,1.796201395133222,1.626103481605945,0.2734377269690015,0.15352613272475985,-0.2754319864882393
0.3,0.6842431600485632,0.3157568399514368,342099,157868,0.42232751412572533,0.4223275141257253,0.22239867831276863,1.7674606558720711,0.1539501607106069,0.3958433628094357,0.21403612638434136,-3.760162601626016,3.3696010058635135,1.659208980537484,-6.124700709740861,0.23231433856132971,0.14629365538125516,-4.973366246589583,0.4370486735753921,0.22704698510101667,2.090078422908137,3.906456294879964,1.8287247101085335,3.46621883960605,0.2563977500190032,0.15389815727838038,-0.033779394569311005,0.4370486735753921,0.22704698510101667,2.090078422908137,3.906456294879964,1.8287247101085335,3.46621883960605,0.2563977500190032,0.15389815727838038,-0.033779394569311005
0.35,0.6345718817441951,0.3654281182558049,317265,182702,0.4055730096003327,0.40557300960033277,0.22239867831276863,1.7674606558720711,0.1539501607106069,0.3993333406311918,0.2201185278228363,-1.0252536153680047,3.4601773601967842,1.7535533308285396,-0.7868534440824471,0.23177633523442545,0.1489078279166425,-3.2753020657399046,0.4244507449289006,0.22929713361081833,3.101841859126564,3.723772859938625,1.849878538279899,4.663067442774982,0.2487985900537487,0.1551282384637386,0.7652332077432655,0.4244507449289006,0.22929713361081833,3.101841859126564,3.723772859938625,1.849878538279899,4.663067442774982,0.2487985900537487,0.1551282384637386,0.7652332077432655
0.4,0.5879048017169133,0.4120951982830867,293933,206034,0.3901637593795198,0.39016375937951986,0.22239867831276863,1.7674606558720711,0.1539501607106069,0.39788578584117185,0.22558088833863035,1.4308583351320348,3.4880792556544096,1.8304133830828855,3.5617611629240598,0.23049593756370307,0.1506739444803357,-2.1281018578667155,0.4100876554355106,0.23060922020853375,3.6918123606014763,3.571453801518443,1.8647716330924868,5.50569410963222,0.24069328363279846,0.15487622183064081,0.6015330648304396,0.4100876554355106,0.23060922020853375,3.6918123606014763,3.571453801518443,1.8647716330924868,5.50569410963222,0.24069328363279846,0.15487622183064081,0.6015330648304396
