label,coverage_target,coverage,policy,n_accept,n_reject,err_system,err_accept,err_reject,err_delta_vs_anchor,regret_system,regret_accept,regret_reject,regret_delta_vs_anchor,sla_system,sla_accept,sla_reject,sla_delta_vs_anchor
B1_random,0.0,0.0,static,0,499967,0.15745439198987132,,0.15745439198987132,0.030918040590678986,0.7319416586373663,,0.7319416586373663,0.2391214419003359,0.002912192204685509,,0.002912192204685509,0.0013240873897677244
B1_random,0.01,0.010000660043562875,static,5000,494967,0.1571803739046777,0.1368,0.15738624999242373,0.03064402250548537,0.729888395453675,0.5360659639735706,0.7318463283207157,0.23706817871664465,0.0028921908845983835,0.002,0.0029012035145777396,0.0013040860696805988
B1_random,0.02,0.01999931995511704,static,9999,489968,0.1569083559514928,0.13111311131113113,0.15743477125036737,0.030372004552300463,0.727858709899549,0.49296628440714985,0.732652266545082,0.23503849316251868,0.002884190356563533,0.0018001800180018,0.0029063122489631976,0.0012960855416457484
B1_random,0.03,0.029999979998679913,static,14999,484968,0.15659233509411621,0.12660844056270418,0.15751967140099965,0.030055983694923877,0.7253101632232315,0.48722976665523676,0.7326734693962641,0.23248994648620114,0.00286618916848512,0.0019334622308153878,0.002895036373533924,0.0012780843535673352
B1_random,0.04,0.04000064004224279,static,19999,479968,0.1563823212332014,0.127806390319516,0.15757300486699113,0.029845969834009056,0.7234375432797213,0.49313023509565135,0.7330338410670181,0.23061732654269096,0.0028501881124154194,0.0019000950047502376,0.002889775985065671,0.0012620832974976348
B1_random,0.05,0.04999929995379695,static,24998,474969,0.1560803012998858,0.12757020561644933,0.15758081053710873,0.02954394990069345,0.721190905026459,0.49434934855332174,0.7331297583594458,0.22837068828942864,0.002838187320363144,0.0018001440115209216,0.002892820373540168,0.0012500825054453592
B1_random,0.06,0.059999959997359825,static,29998,469969,0.15573827872639595,0.12807520501366756,0.15750400558334698,0.029201927327203614,0.7189160865306897,0.49851518272245754,0.7329842193488956,0.22609586979365937,0.0028261865283108686,0.001666777785185679,0.0029001912892126927,0.001238081713393084
B1_random,0.07,0.0700006200409227,static,34998,464969,0.15541425734098452,0.12769301102920166,0.15750082263548754,0.02887790594179218,0.7166014675657508,0.49721389139447086,0.7331146682110463,0.22378125082872047,0.0028181860002760182,0.001600091433796217,0.0029098714107822243,0.0012300811853582336
B1_random,0.08,0.07999927995247687,static,39997,459970,0.15509823648360793,0.12745955946696003,0.1575015761897515,0.028561885084415595,0.7141213549773784,0.4970252493021864,0.7329990925226328,0.22130113824034803,0.0028061852082237426,0.0015751181338600395,0.0029132334717481573,0.001218080393305958
B1_random,0.09,0.08999993999603974,static,44997,454970,0.15478821602225748,0.12747516501100073,0.15748950480251445,0.028251864623065143,0.7118282363367769,0.49801564982067276,0.7329745206092897,0.21900801959974658,0.0027941844161714674,0.0015778829699757762,0.0029144778776622636,0.0012060796012536828
