kappa,n_test_rows,p_accept,p_reject,n_accept,n_reject,break_even_err_reject,break_even_identity_residual,G23_4b_break_even_identity,anchor_err_system,anchor_err_reject,anchor_regret_system,anchor_regret_reject,anchor_sla_system,anchor_sla_reject,static_err_reject,static_err_system,static_err_system_vs_anchor_pct,static_regret_reject,static_regret_system,static_regret_system_vs_anchor_pct,static_sla_reject,static_sla_system,static_sla_system_vs_anchor_pct,static_decision_delay_ms_mean_given_reject,sticky_err_reject,sticky_err_system,sticky_err_system_vs_anchor_pct,sticky_regret_reject,sticky_regret_system,sticky_regret_system_vs_anchor_pct,sticky_sla_reject,sticky_sla_system,sticky_sla_system_vs_anchor_pct,sticky_decision_delay_ms_mean_given_reject,wait_err_reject,wait_err_system,wait_err_system_vs_anchor_pct,wait_regret_reject,wait_regret_system,wait_regret_system_vs_anchor_pct,wait_sla_reject,wait_sla_system,wait_sla_system_vs_anchor_pct,wait_decision_delay_ms_mean_given_reject,p_sticky_equals_static_given_reject,p_twin_equals_static_marginal,p_twin_equals_static_given_accept,sticky_age_ms_mean,reject_run_len_mean,wait_lookahead_future_share,wait_lookahead_horizon_ms_mean,wait_a_star_agree_over_wait
0.0,499967,1.0,0.0,499967,0,,0.0,True,0.22239867831276863,,1.7674606558720711,,0.1539501607106069,,,0.22239867831276863,0.0,,1.7674606558720711,0.0,,0.1539501607106069,0.0,0.0,,0.22239867831276863,0.0,,1.7674606558720711,0.0,,0.1539501607106069,0.0,0.0,,0.22239867831276863,0.0,,1.7674606558720711,0.0,,0.1539501607106069,0.0,0.0,,0.6191768656731345,0.6191768656731345,,0.0,,,
0.25,499967,0.7379727061986091,0.2620272938013909,368962,131005,0.4385557803137285,0.0,True,0.22239867831276863,0.4385557803137285,1.7674606558720711,3.935138055179346,0.1539501607106069,0.2678829052326247,0.3922674707072249,0.2102698778119356,-5.453629757536504,3.2921799165970396,1.5989880747917695,-9.531899933420396,0.23431930079004618,0.1451555802682977,-5.712615304664171,0.0,0.44643334223884584,0.22446281454576003,0.9281243254910532,4.136278829988557,1.8201650287684434,2.9819262296601368,0.2704247929468341,0.15461620466950818,0.4326360919838734,0.0,0.44643334223884584,0.22446281454576003,0.9281243254910532,4.136278829988557,1.8201650287684434,2.9819262296601368,0.2704247929468341,0.15461620466950818,0.4326360919838734,201.0916379536866,0.5506660051143086,0.6191768656731345,0.6603471360194275,318.93717248298185,92.25704225352112,0.857001476113795,165.9474807947757,0.767595947396672
0.5,499967,0.49112641434334664,0.5088735856566533,245547,254420,0.35900086471189374,0.0,True,0.22239867831276863,0.35900086471189374,1.7674606558720711,3.002440484462611,0.1539501607106069,0.22326074994104236,0.39100699630532193,0.23868575325971514,7.3233685876681776,3.4686064432285906,2.0046801988203864,13.42148930784941,0.22787516704661584,0.15629831568883545,1.525269585552791,0.0,0.3874773995755051,0.23688963471589125,6.515756529246719,3.3831475221705736,1.9611924112352446,10.96102222810642,0.22874380944894268,0.15674034486276095,1.8123944393919622,0.0,0.3874773995755051,0.23688963471589125,6.515756529246719,3.3831475221705736,1.9611924112352446,10.96102222810642,0.22874380944894268,0.15674034486276095,1.8123944393919622,204.27061575022907,0.6057267510415848,0.6191768656731345,0.7074042851266764,466.7022374407682,115.75068243858053,0.8584497077557621,168.51858647192287,0.775288050887915
0.75,499967,0.2733880436108783,0.7266119563891217,136685,363282,0.295159132574694,5.551115123125783e-17,True,0.22239867831276863,0.29515913257469406,1.7674606558720711,2.380528007953041,0.1539501607106069,0.1931034292918449,0.37398770101463874,0.27967645864627066,25.754550687099798,3.5809171596802694,2.6396777658368706,49.348601173497954,0.2213294355349288,0.17445951432794565,13.322073535143563,0.0,0.33172301407721827,0.2489664317844978,11.946003309590637,2.8776352564046244,2.1286647262046894,20.43632875971426,0.2031507203770074,0.1612506425424078,4.742107314538124,0.0,0.33172301407721827,0.2489664317844978,11.946003309590637,2.8776352564046244,2.1286647262046894,20.43632875971426,0.2031507203770074,0.1612506425424078,4.742107314538124,204.00452012999892,0.6717591292714751,0.6191768656731345,0.7484435014815086,625.0008943258132,138.97551644988522,0.8579422018265693,168.30780218653857,0.7925147418185543
1.0,499967,0.1435814763774409,0.8564185236225591,71786,428181,0.2580964592076715,5.551115123125783e-17,True,0.22239867831276863,0.25809645920767155,1.7674606558720711,2.0580249716940373,0.1539501607106069,0.17492835973571924,0.36132383267823653,0.31080451309786444,39.75106122742644,3.6971718166278587,3.17125637681087,79.42443959218777,0.21772101050723877,0.19059857950624742,23.80537871898143,0.0,0.31138700689661614,0.2680376904875722,20.52126052233976,2.7327815487169618,2.3453346873706558,32.6951567254808,0.19174601395204363,0.16835311130534616,9.355593088216185,0.0,0.31138700689661614,0.2680376904875722,20.52126052233976,2.7327815487169618,2.3453346873706558,32.6951567254808,0.19174601395204363,0.16835311130534616,9.355593088216185,211.25867358151584,0.7231100866222462,0.6191768656731345,0.7857520965090686,809.4908437520694,174.3407980456026,0.8661954698523668,176.6468843719049,0.8017695489058759
1.25,499967,0.07204475495382695,0.927955245046173,36020,463947,0.23951227187588237,0.0,True,0.22239867831276863,0.23951227187588237,1.7674606558720711,1.9042125154907465,0.1539501607106069,0.16432264892326062,0.35236783511909764,0.32712359015695036,47.088819339520825,3.753080377940846,3.4831272862299474,97.06957971923626,0.21437146915488192,0.2003932259529129,30.16759776536313,0.0,0.3102962191802081,0.2880830134788896,29.534498884811853,2.8589773385207775,2.65343968118837,50.127227577756386,0.18792448275341794,0.1758516062060096,14.226321943614394,0.0,0.3102962191802081,0.2880830134788896,29.534498884811853,2.8589773385207775,2.65343968118837,50.127227577756386,0.18792448275341794,0.1758516062060096,14.226321943614394,217.4416692484442,0.7771792898757832,0.6191768656731345,0.8159911160466408,999.5651640907262,224.45428156748912,0.8717060836780696,183.61048263737516,0.8077282414076119
1.5,499967,0.034792296291555246,0.9652077037084448,17395,482572,0.2304132854786436,0.0,True,0.22239867831276863,0.2304132854786436,1.7674606558720711,1.8311692799384403,0.1539501607106069,0.15910786369702345,0.3469409746110425,0.3348721015587029,50.5728829412188,3.780727574781479,3.649189340883272,106.46509605515094,0.21225640940626475,0.20524954647006702,33.32207353514356,0.0,0.3214359722487007,0.3102544767954685,39.50374127635084,3.20132788295099,3.089948294802185,74.82416282005406,0.1938632991553592,0.18749637476073422,21.790307912173578,0.0,0.3214359722487007,0.3102544767954685,39.50374127635084,3.20132788295099,3.089948294802185,74.82416282005406,0.1938632991553592,0.18749637476073422,21.790307912173578,222.0937603648581,0.8665111112953093,0.6191768656731345,0.8445530324805979,1232.734571841291,341.04028268551235,0.8753001801080649,188.72857834425713,0.8109956883220841
2.0,499967,0.009484625985315031,0.9905153740146849,4742,495225,0.22452824473724065,0.0,True,0.22239867831276863,0.22452824473724065,1.7674606558720711,1.7843848790638432,0.1539501607106069,0.15539805139078197,0.34254530768842445,0.3392963935619751,52.56223469314341,3.8007372162850954,3.764688645320164,112.99985562975112,0.21060528042808824,0.2086337698288087,35.520332597115754,0.0,0.3318229087788379,0.32867569259571133,47.786711274192406,3.5185978251496635,3.4852252407853763,97.18827851733731,0.2011933969407845,0.19931115453619938,29.464726516824726,0.0,0.3318229087788379,0.32867569259571133,47.786711274192406,3.5185978251496635,3.4852252407853763,97.18827851733731,0.2011933969407845,0.19931115453619938,29.464726516824726,225.85986194027197,0.9540653238426977,0.6191768656731345,0.8966680725432307,1466.8539155665994,577.8588098016336,0.878175975177305,192.89771748530836,0.8140824468085106
3.0,499967,0.0005260347182914072,0.9994739652817086,263,499704,0.22251572931175254,2.7755575615628914e-17,True,0.22239867831276863,0.22251572931175256,1.7674606558720711,1.7683908908761823,0.1539501607106069,0.15403118646238573,0.3404375390231017,0.3402584570581658,52.99481977120657,3.796705447110626,3.79470824823032,114.69831510099428,0.20959808206458222,0.20948782619652898,36.07509419254254,0.0,0.34020540159774587,0.3400264417451552,52.89049571911648,3.7936455064226537,3.791649917177385,114.52527978941474,0.20963610457390774,0.20952582870469452,36.09977913472782,0.0,0.34020540159774587,0.3400264417451552,52.89049571911648,3.7936455064226537,3.791649917177385,114.52527978941474,0.20963610457390774,0.20952582870469452,36.09977913472782,227.51398853964193,0.9984390759329523,0.6191768656731345,0.9657794676806084,1619.6465833254895,948.2049335863378,0.8792623995079735,194.72466311385404,0.8153362913499979
4.0,499967,1.8001188078413174e-05,0.9999819988119216,9,499958,0.2224026818252733,0.0,True,0.22239867831276863,0.2224026818252733,1.7674606558720711,1.7674924728365018,0.1539501607106069,0.1539529320462919,0.3402825837370339,0.34027645824624425,53.00291387869631,3.7955674771361325,3.795499152412112,114.74306315120772,0.20950959880629974,0.20950582738460738,36.08678705989345,0.0,0.3402825837370339,0.34027645824624425,53.00291387869631,3.7955674771361325,3.795499152412112,114.74306315120772,0.20950959880629974,0.20950582738460738,36.08678705989345,0.0,0.3402825837370339,0.34027645824624425,53.00291387869631,3.7955674771361325,3.795499152412112,114.74306315120772,0.20950959880629974,0.20950582738460738,36.08678705989345,227.59713841801928,1.0,0.6191768656731345,1.0,202.50000000000287,997.9201596806387,0.879317272162418,194.8293183242607,0.8154004571132486
