label,coverage_target,coverage,policy,n_accept,n_reject,err_system,err_accept,err_reject,err_delta_vs_anchor,regret_system,regret_accept,regret_reject,regret_delta_vs_anchor,sla_system,sla_accept,sla_reject,sla_delta_vs_anchor
B1_random,0.0,0.0,static,0,499967,0.34027645824624425,,0.34027645824624425,0.11787777993347562,3.795499152412112,,3.795499152412112,2.028038496540041,0.20950582738460738,,0.20950582738460738,0.05555566667400047
B1_random,0.01,0.010000660043562875,static,5000,494967,0.33904637706088603,0.2214,0.3402348035323567,0.1166476987481174,3.774579458680917,1.7808970589708537,3.794719007375174,2.007118802808846,0.2089217888380633,0.1612,0.20940385924718213,0.0549716281274564
B1_random,0.02,0.01999931995511704,static,9999,489968,0.33779429442343195,0.21732173217321732,0.3402528328380629,0.11539561611066332,3.7546787000584265,1.7064977957453444,3.7964768600652565,1.9872180441863554,0.20833575015951053,0.1564156415641564,0.2093953074486497,0.05438558944890362
B1_random,0.03,0.029999979998679913,static,14999,484968,0.3366542191784658,0.21934795653043537,0.34028224542650237,0.11425554086569714,3.7347910285254726,1.7206364803406002,3.7970844253438707,1.9673303726534015,0.2077297101608706,0.15501033402226816,0.20936020520941587,0.0537795494502637
B1_random,0.04,0.04000064004224279,static,19999,479968,0.33554614604563904,0.21971098554927745,0.3403726915127675,0.1131474677328704,3.7163328999771963,1.7436691902078687,3.7985285912142723,1.9488722441051252,0.2072796804589103,0.15510775538776939,0.20945354690312687,0.05332951974830338
B1_random,0.05,0.04999929995379695,static,24998,474969,0.334440073044821,0.22093767501400113,0.3404137954266489,0.11204139473205235,3.6960723480067887,1.7468495801441697,3.7986615080383483,1.9286116921347176,0.20675964613664502,0.15521241699335947,0.2094726182129781,0.05280948542603811
B1_random,0.06,0.059999959997359825,static,29998,469969,0.3333059981958809,0.22221481432095472,0.34039691979683767,0.11090731988311228,3.6765942768706092,1.7724722738975576,3.798133892983982,1.9091336209985381,0.2061676070620661,0.15524368291219415,0.2094180680002298,0.052217446351459196
B1_random,0.07,0.0700006200409227,static,34998,464969,0.33216992321493216,0.2236127778730213,0.3403409689678237,0.10977124490216353,3.6579023663901498,1.7954496105020963,3.7980883176053277,1.8904417105180786,0.20567157432390537,0.15718041030916052,0.20932148164716358,0.05172141361329846
B1_random,0.08,0.07999927995247687,static,39997,459970,0.33100384625385276,0.22339175438157863,0.34036132791268997,0.10860516794108413,3.636929068405133,1.7864329570910755,3.7978401994880913,1.8694684125330618,0.2050875357773613,0.15691176838262869,0.2092766919581712,0.05113737506675439
B1_random,0.09,0.08999993999603974,static,44997,454970,0.3297977666525991,0.22312598617685622,0.34034771523397145,0.10739908833983045,3.6164821590044385,1.7815323399605576,3.797960579576163,1.8490215031323674,0.20450749749483466,0.15645487476942907,0.209259951205574,0.05055733678422775
