sample_index,sampler_id,timestamp_s,monotonic_s,sample_t_mono,link,rho,throughput_mbps,tx_bytes_delta,dt_s,rx_bytes_delta,rho_rx,read_duration_us
0,0,0.200205,5913.996479322,5913.996479322,uA,0.82483244,6.59865952,164388,0.19929866,164388,0.82483244,204.2
0,0,0.200205,5913.996479322,5913.996479322,uB,0.84895035,5.09370209,126896,0.19929866,126896,0.84895035,204.2
0,0,0.200205,5913.996479322,5913.996479322,ac,0.94542198,5.67253187,141316,0.19929866,141316,0.94542198,204.2
0,0,0.200205,5913.996479322,5913.996479322,ad,0.95506914,3.82027656,95172,0.19929866,95172,0.95506914,204.2
0,0,0.200205,5913.996479322,5913.996479322,bc,0.95506914,5.73041485,142758,0.19929866,142758,0.95506914,204.2
0,0,0.200205,5913.996479322,5913.996479322,bd,0.79106737,4.74640422,118244,0.19929866,118244,0.79106737,204.2
0,0,0.200205,5913.996479322,5913.996479322,vC,0.36176861,2.89414891,72100,0.19929866,72100,0.36176861,204.2
0,0,0.200205,5913.996479322,5913.996479322,vD,0.10611879,0.63671276,15862,0.19929866,15862,0.10611879,204.2
1,0,0.400202,5914.196476147,5914.196476147,uA,0.82916316,6.63330530,165830,0.19999683,165830,0.82916316,204.0
1,0,0.400202,5914.196476147,5914.196476147,uB,0.84598676,5.07592058,126896,0.19999683,126896,0.84598676,204.0
1,0,0.400202,5914.196476147,5914.196476147,ac,0.94212162,5.65272974,141316,0.19999683,141316,0.94212162,204.0
1,0,0.400202,5914.196476147,5914.196476147,ad,0.96615534,3.86462135,96614,0.19999683,96614,0.96615534,204.0
1,0,0.400202,5914.196476147,5914.196476147,bc,0.94212162,5.65272974,141316,0.19999683,141316,0.94212162,204.0
1,0,0.400202,5914.196476147,5914.196476147,bd,0.96134859,5.76809157,144200,0.19999683,144200,0.96134859,204.0
1,0,0.400202,5914.196476147,5914.196476147,vC,0.82195305,6.57562439,164388,0.19999683,164388,0.82195305,204.0
1,0,0.400202,5914.196476147,5914.196476147,vD,0.85560025,5.13360150,128338,0.19999683,128338,0.85560025,204.0
2,0,0.600193,5914.396467576,5914.396467576,uA,0.82197522,6.57580179,164388,0.19999143,164388,0.82197522,193.3
2,0,0.600193,5914.396467576,5914.396467576,uB,0.84600959,5.07605752,126896,0.19999143,126896,0.84600959,193.3
2,0,0.600193,5914.396467576,5914.396467576,ac,0.95176079,5.71056471,142758,0.19999143,142758,0.95176079,193.3
2,0,0.600193,5914.396467576,5914.396467576,ad,0.95176079,3.80704314,95172,0.19999143,95172,0.95176079,193.3
2,0,0.600193,5914.396467576,5914.396467576,bc,0.94214704,5.65288224,141316,0.19999143,141316,0.94214704,193.3
2,0,0.600193,5914.396467576,5914.396467576,bd,0.95176079,5.71056471,142758,0.19999143,142758,0.95176079,193.3
2,0,0.600193,5914.396467576,5914.396467576,vC,0.82918553,6.63348426,165830,0.19999143,165830,0.82918553,193.3
2,0,0.600193,5914.396467576,5914.396467576,vD,0.84600959,5.07605752,126896,0.19999143,126896,0.84600959,193.3
3,0,0.800212,5914.596486715,5914.596486715,uA,0.82186135,6.57489082,164388,0.20001914,164388,0.82186135,239.4
3,0,0.800212,5914.596486715,5914.596486715,uB,0.84589239,5.07535431,126896,0.20001914,126896,0.84589239,239.4
3,0,0.800212,5914.596486715,5914.596486715,ac,0.94201652,5.65209912,141316,0.20001914,141316,0.94201652,239.4
3,0,0.800212,5914.596486715,5914.596486715,ad,0.96604755,3.86419022,96614,0.20001914,96614,0.96604755,239.4
3,0,0.800212,5914.596486715,5914.596486715,bc,0.94201652,5.65209912,141316,0.20001914,141316,0.94201652,239.4
3,0,0.800212,5914.596486715,5914.596486715,bd,0.95162893,5.70977360,142758,0.20001914,142758,0.95162893,239.4
3,0,0.800212,5914.596486715,5914.596486715,vC,0.82186135,6.57489082,164388,0.20001914,164388,0.82186135,239.4
3,0,0.800212,5914.596486715,5914.596486715,vD,0.85550480,5.13302879,128338,0.20001914,128338,0.85550480,239.4
4,0,1.000216,5914.796490065,5914.796490065,uA,0.82192623,6.57540988,164388,0.20000335,164388,0.82192623,244.3
4,0,1.000216,5914.796490065,5914.796490065,uB,0.83634599,5.01807596,125454,0.20000335,125454,0.83634599,244.3
4,0,1.000216,5914.796490065,5914.796490065,ac,0.95170406,5.71022437,142758,0.20000335,142758,0.95170406,244.3
4,0,1.000216,5914.796490065,5914.796490065,ad,0.95170406,3.80681625,95172,0.20000335,95172,0.95170406,244.3
4,0,1.000216,5914.796490065,5914.796490065,bc,0.94209089,5.65254533,141316,0.20000335,141316,0.94209089,244.3
4,0,1.000216,5914.796490065,5914.796490065,bd,0.95170406,5.71022437,142758,0.20000335,142758,0.95170406,244.3
4,0,1.000216,5914.796490065,5914.796490065,vC,0.82192623,6.57540988,164388,0.20000335,164388,0.82192623,244.3
4,0,1.000216,5914.796490065,5914.796490065,vD,0.85557234,5.13343403,128338,0.20000335,128338,0.85557234,244.3
5,0,1.200225,5914.996499328,5914.996499328,uA,0.82911160,6.63289280,165830,0.20000926,165830,0.82911160,242.5
5,0,1.200225,5914.996499328,5914.996499328,uB,0.84593415,5.07560492,126896,0.20000926,126896,0.84593415,242.5
5,0,1.200225,5914.996499328,5914.996499328,ac,0.95167592,5.71005554,142758,0.20000926,142758,0.95167592,242.5
5,0,1.200225,5914.996499328,5914.996499328,ad,0.96609526,3.86438102,96614,0.20000926,96614,0.96609526,242.5
5,0,1.200225,5914.996499328,5914.996499328,bc,0.94206304,5.65237821,141316,0.20000926,141316,0.94206304,242.5
5,0,1.200225,5914.996499328,5914.996499328,bd,0.95167592,5.71005554,142758,0.20000926,142758,0.95167592,242.5
5,0,1.200225,5914.996499328,5914.996499328,vC,0.82911160,6.63289280,165830,0.20000926,165830,0.82911160,242.5
5,0,1.200225,5914.996499328,5914.996499328,vD,0.85554704,5.13328225,128338,0.20000926,128338,0.85554704,242.5
6,0,1.400197,5915.196470818,5915.196470818,uA,0.82205718,6.57645746,164388,0.19997149,164388,0.82205718,201.9
6,0,1.400197,5915.196470818,5915.196470818,uB,0.84609394,5.07656365,126896,0.19997149,126896,0.84609394,201.9
6,0,1.400197,5915.196470818,5915.196470818,ac,0.94224098,5.65344588,141316,0.19997149,141316,0.94224098,201.9
6,0,1.400197,5915.196470818,5915.196470818,ad,0.95185568,3.80742274,95172,0.19997149,95172,0.95185568,201.9
6,0,1.400197,5915.196470818,5915.196470818,bc,0.94224098,5.65344588,141316,0.19997149,141316,0.94224098,201.9
6,0,1.400197,5915.196470818,5915.196470818,bd,0.95185568,5.71113411,142758,0.19997149,142758,0.95185568,201.9
6,0,1.400197,5915.196470818,5915.196470818,vC,0.82205718,6.57645746,164388,0.19997149,164388,0.82205718,201.9
6,0,1.400197,5915.196470818,5915.196470818,vD,0.85570865,5.13425187,128338,0.19997149,128338,0.85570865,201.9
7,0,1.600199,5915.396473319,5915.396473319,uA,0.82192972,6.57543777,164388,0.20000250,164388,0.82192972,204.7
7,0,1.600199,5915.396473319,5915.396473319,uB,0.84596275,5.07577653,126896,0.20000250,126896,0.84596275,204.7
7,0,1.600199,5915.396473319,5915.396473319,ac,0.95170810,5.71024859,142758,0.20000250,142758,0.95170810,204.7
7,0,1.600199,5915.396473319,5915.396473319,ad,0.95170810,3.80683240,95172,0.20000250,95172,0.95170810,204.7
7,0,1.600199,5915.396473319,5915.396473319,bc,0.94209489,5.65256931,141316,0.20000250,141316,0.94209489,204.7
7,0,1.600199,5915.396473319,5915.396473319,bd,0.95170810,5.71024859,142758,0.20000250,142758,0.95170810,204.7
7,0,1.600199,5915.396473319,5915.396473319,vC,0.82192972,6.57543777,164388,0.20000250,164388,0.82192972,204.7
7,0,1.600199,5915.396473319,5915.396473319,vD,0.85557597,5.13345581,128338,0.20000250,128338,0.85557597,204.7
8,0,1.800200,5915.596474091,5915.596474091,uA,0.82914680,6.63317440,165830,0.20000077,165830,0.82914680,201.7
8,0,1.800200,5915.596474091,5915.596474091,uB,0.84597007,5.07582041,126896,0.20000077,126896,0.84597007,201.7
8,0,1.800200,5915.596474091,5915.596474091,ac,0.94210303,5.65261818,141316,0.20000077,141316,0.94210303,201.7
8,0,1.800200,5915.596474091,5915.596474091,ad,0.96613627,3.86454508,96614,0.20000077,96614,0.96613627,201.7
8,0,1.800200,5915.596474091,5915.596474091,bc,0.94210303,5.65261818,141316,0.20000077,141316,0.94210303,201.7
8,0,1.800200,5915.596474091,5915.596474091,bd,0.95171633,5.71029796,142758,0.20000077,142758,0.95171633,201.7
8,0,1.800200,5915.596474091,5915.596474091,vC,0.82193683,6.57549462,164388,0.20000077,164388,0.82193683,201.7
8,0,1.800200,5915.596474091,5915.596474091,vD,0.85558336,5.13350018,128338,0.20000077,128338,0.85558336,201.7
9,0,2.000187,5915.796461664,5915.796461664,uA,0.82199107,6.57592860,164388,0.19998757,164388,0.82199107,218.3
9,0,2.000187,5915.796461664,5915.796461664,uB,0.84602590,5.07615541,126896,0.19998757,126896,0.84602590,218.3
9,0,2.000187,5915.796461664,5915.796461664,ac,0.95177914,5.71067483,142758,0.19998757,142758,0.95177914,218.3
9,0,2.000187,5915.796461664,5915.796461664,ad,0.95177914,3.80711656,95172,0.19998757,95172,0.95177914,218.3
9,0,2.000187,5915.796461664,5915.796461664,bc,0.94216521,5.65299125,141316,0.19998757,141316,0.94216521,218.3
9,0,2.000187,5915.796461664,5915.796461664,bd,0.95177914,5.71067483,142758,0.19998757,142758,0.95177914,218.3
9,0,2.000187,5915.796461664,5915.796461664,vC,0.82920152,6.63361218,165830,0.19998757,165830,0.82920152,218.3
9,0,2.000187,5915.796461664,5915.796461664,vD,0.85563983,5.13383899,128338,0.19998757,128338,0.85563983,218.3
10,0,2.200218,5915.996492321,5915.996492321,uA,0.82181403,6.57451223,164388,0.20003066,164388,0.82181403,231.3
10,0,2.200218,5915.996492321,5915.996492321,uB,0.84584368,5.07506207,126896,0.20003066,126896,0.84584368,231.3
10,0,2.200218,5915.996492321,5915.996492321,ac,0.94196228,5.65177367,141316,0.20003066,141316,0.94196228,231.3
10,0,2.200218,5915.996492321,5915.996492321,ad,0.96599193,3.86396771,96614,0.20003066,96614,0.96599193,231.3
10,0,2.200218,5915.996492321,5915.996492321,bc,0.94196228,5.65177367,141316,0.20003066,141316,0.94196228,231.3
10,0,2.200218,5915.996492321,5915.996492321,bd,0.96118600,5.76711599,144200,0.20003066,144200,0.96118600,231.3
10,0,2.200218,5915.996492321,5915.996492321,vC,0.82181403,6.57451223,164388,0.20003066,164388,0.82181403,231.3
10,0,2.200218,5915.996492321,5915.996492321,vD,0.85545554,5.13273323,128338,0.20003066,128338,0.85545554,231.3
11,0,2.400186,5916.196460493,5916.196460493,uA,0.82207082,6.57656659,164388,0.19996817,164388,0.82207082,241.6
11,0,2.400186,5916.196460493,5916.196460493,uB,0.83649312,5.01895872,125454,0.19996817,125454,0.83649312,241.6
11,0,2.400186,5916.196460493,5916.196460493,ac,0.95187148,5.71122888,142758,0.19996817,142758,0.95187148,241.6
11,0,2.400186,5916.196460493,5916.196460493,ad,0.95187148,3.80748592,95172,0.19996817,95172,0.95187148,241.6
11,0,2.400186,5916.196460493,5916.196460493,bc,0.94225662,5.65353970,141316,0.19996817,141316,0.94225662,241.6
11,0,2.400186,5916.196460493,5916.196460493,bd,0.95187148,5.71122888,142758,0.19996817,142758,0.95187148,241.6
11,0,2.400186,5916.196460493,5916.196460493,vC,0.82207082,6.57656659,164388,0.19996817,164388,0.82207082,241.6
11,0,2.400186,5916.196460493,5916.196460493,vD,0.85572285,5.13433708,128338,0.19996817,128338,0.85572285,241.6
12,0,2.600194,5916.396467787,5916.396467787,uA,0.82911976,6.63295810,165830,0.20000729,165830,0.82911976,187.9
12,0,2.600194,5916.396467787,5916.396467787,uB,0.84594248,5.07565489,126896,0.20000729,126896,0.84594248,187.9
12,0,2.600194,5916.396467787,5916.396467787,ac,0.95168529,5.71011175,142758,0.20000729,142758,0.95168529,187.9
12,0,2.600194,5916.396467787,5916.396467787,ad,0.96610477,3.86441906,96614,0.20000729,96614,0.96610477,187.9
12,0,2.600194,5916.396467787,5916.396467787,bc,0.94207231,5.65243386,141316,0.20000729,141316,0.94207231,187.9
